,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2024-01-22 22:30:00,192.29,192.51,192.53,192.26,862537,862537,862537,分时图,13.93988312471214,93.76788381891774,0,0,0,0,862537,0,0,0,0,0,0,0,0,0,0
1,2024-01-22 22:31:00,192.48,192.82,192.82,192.45,30188,30188,30188,分时图,13.93988312471214,93.76788381891774,0,0,0,0,30188,0,0,0,0,0,0,0,0,0,0
2,2024-01-22 22:32:00,192.8,193.25,193.36,192.79,81785,81785,81785,分时图,13.93988312471214,93.76788381891774,0,0,0,0,81785,0,0,0,0,0,0,0,0,0,0
3,2024-01-22 22:33:00,193.31,193.47,193.47,193.24,49993,49993,49993,分时图,13.93988312471214,93.76788381891774,0,0,0,0,49993,0,0,0,0,0,0,0,0,0,0
4,2024-01-22 22:34:00,193.44,193.81,193.81,193.36,61126,61126,61126,分时图,13.93988312471214,93.76788381891774,0,0,0,0,61126,0,0,0,0,0,0,0,0,0,0
5,2024-01-22 22:35:00,193.83,193.74,193.93,193.72,46373,46373,46373,分时图,25.821396611028064,93.76788381891774,0,0,0,0,46373,0,1,0,0,0,0,0,0,0,0
6,2024-01-22 22:36:00,193.76,193.69,193.8,193.65,35896,35896,35896,分时图,25.821396611028064,93.76788381891774,0,0,0,0,35896,0,0,0,0,0,0,0,0,0,0
7,2024-01-22 22:37:00,193.71,193.96,193.97,193.7,44198,44198,44198,分时图,25.821396611028064,93.76788381891774,0,0,0,0,44198,0,0,0,0,0,0,0,0,0,0
8,2024-01-22 22:38:00,193.98,193.96,194.14,193.94,86687,86687,86687,分时图,25.821396611028064,93.76788381891774,0,0,0,0,86687,0,0,0,0,0,0,0,0,0,0
9,2024-01-22 22:39:00,193.95,194.27,194.3,193.92,39765,39765,39765,分时图,25.821396611028064,93.76788381891774,0,0,0,0,39765,0,0,0,0,0,0,0,0,0,0
10,2024-01-22 22:40:00,194.25,194.26,194.36,194.25,52502,52502,52502,分时图,32.77453476840975,93.76788381891774,0,0,0,0,52502,0,0,0,0,0,0,0,0,0,0
11,2024-01-22 22:41:00,194.25,193.95,194.25,193.94,53285,53285,53285,分时图,32.77453476840975,93.76788381891774,0,0,0,0,53285,0,0,0,0,0,0,0,0,0,0
12,2024-01-22 22:42:00,193.96,194.03,194.09,193.88,45218,45218,45218,分时图,32.77453476840975,93.76788381891774,0,0,0,0,45218,0,0,0,0,0,0,0,0,0,0
13,2024-01-22 22:43:00,194.01,194.0,194.04,193.79,31619,31619,31619,分时图,32.77453476840975,93.76788381891774,0,0,0,0,31619,0,0,0,0,0,0,0,0,0,0
14,2024-01-22 22:44:00,194.01,193.86,194.04,193.83,52833,52833,52833,分时图,32.77453476840975,93.76788381891774,0,0,0,0,52833,0,0,0,0,0,0,0,0,0,0
15,2024-01-22 22:45:00,193.85,193.85,193.93,193.72,63436,63436,63436,分时图,42.284560116613406,93.76788381891774,0,0,0,0,63436,0,0,0,0,0,0,0,0,0,0
16,2024-01-22 22:46:00,193.84,194.01,194.01,193.84,27636,27636,27636,分时图,42.284560116613406,93.76788381891774,0,0,0,0,27636,0,0,0,0,0,0,0,0,0,0
17,2024-01-22 22:47:00,194.02,194.42,194.47,194.01,48917,48917,48917,分时图,42.284560116613406,93.76788381891774,0,0,0,0,48917,0,0,0,0,0,0,0,0,0,0
18,2024-01-22 22:48:00,194.42,194.57,194.61,194.37,53997,53997,53997,分时图,42.284560116613406,93.76788381891774,0,0,0,0,53997,0,0,0,0,0,0,0,0,0,0
19,2024-01-22 22:49:00,194.56,194.51,194.56,194.42,40970,40970,40970,分时图,42.284560116613406,93.76788381891774,0,0,0,0,40970,0,0,0,0,0,0,0,0,0,0
20,2024-01-22 22:50:00,194.49,194.62,194.63,194.47,25012,25012,25012,分时图,50.00926633655153,93.76788381891774,0,0,0,0,25012,0,0,0,0,0,0,0,0,0,0
21,2024-01-22 22:51:00,194.62,194.69,194.72,194.57,28602,28602,28602,分时图,50.00926633655153,93.76788381891774,0,0,0,0,28602,0,0,0,0,0,0,0,0,0,0
22,2024-01-22 22:52:00,194.68,194.5,194.68,194.47,23796,23796,23796,分时图,50.00926633655153,93.76788381891774,0,0,0,0,23796,0,0,0,0,0,0,0,0,0,0
23,2024-01-22 22:53:00,194.51,194.38,194.51,194.38,15280,15280,15280,分时图,50.00926633655153,93.76788381891774,0,0,0,0,15280,0,0,0,0,0,0,0,0,0,0
24,2024-01-22 22:54:00,194.38,194.5,194.53,194.29,30347,30347,30347,分时图,50.00926633655153,93.76788381891774,0,0,0,0,30347,0,0,0,0,0,0,0,0,0,0
25,2024-01-22 22:55:00,194.5,194.5,194.54,194.43,14953,14953,14953,分时图,56.64925323294402,93.76788381891774,0,0,0,0,14953,0,0,0,0,0,0,0,0,0,0
26,2024-01-22 22:56:00,194.49,194.51,194.62,194.45,18158,18158,18158,分时图,56.64925323294402,93.76788381891774,0,0,0,0,18158,0,0,0,0,0,0,0,0,0,0
27,2024-01-22 22:57:00,194.51,194.39,194.52,194.32,23443,23443,23443,分时图,56.64925323294402,93.76788381891774,0,0,0,0,23443,0,0,0,0,0,0,0,0,0,0
28,2024-01-22 22:58:00,194.38,194.52,194.52,194.32,19788,19788,19788,分时图,56.64925323294402,93.76788381891774,0,0,0,0,19788,0,0,0,0,0,0,0,0,0,0
29,2024-01-22 22:59:00,194.53,194.46,194.53,194.39,17989,17989,17989,分时图,56.64925323294402,93.76788381891774,0,0,0,0,17989,0,0,0,0,0,0,0,0,0,0
30,2024-01-22 23:00:00,194.46,194.71,194.72,194.46,52833,52833,52833,分时图,61.26859095839106,94.4247107942864,0,0,0,0,52833,0,0,0,0,0,0,0,0,0,0
31,2024-01-22 23:01:00,194.72,194.86,194.86,194.56,41901,41901,41901,分时图,61.26859095839106,94.4247107942864,0,0,0,0,41901,0,0,0,0,0,0,0,0,0,0
