,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2023-10-31 21:32:00,169.19,169.05,169.19,168.89,221093,221093,221093,分时图,,,0,0,0,0,221093,0,0,0,0,0,0,0,0,0,0
1,2023-10-31 21:33:00,169.01,168.86,169.01,168.86,161406,161406,161406,分时图,,,0,0,0,0,161406,0,0,0,0,0,0,0,0,0,0
2,2023-10-31 21:34:00,168.81,168.69,168.85,168.69,223856,223856,223856,分时图,,,0,0,0,0,223856,0,0,0,0,0,0,0,0,0,0
3,2023-10-31 21:35:00,168.68,168.6,168.71,168.6,144909,144909,144909,分时图,,,0,0,0,0,144909,0,0,0,0,0,0,0,0,0,0
4,2023-10-31 21:36:00,168.57,168.42,168.57,168.4,178463,178463,178463,分时图,,,0,0,0,0,178463,0,0,0,0,0,0,0,0,0,0
5,2023-10-31 21:37:00,168.4,168.49,168.49,168.36,191282,191282,191282,分时图,,,0,0,0,0,191282,0,0,0,0,0,0,0,0,0,0
6,2023-10-31 21:38:00,168.44,168.4,168.44,168.4,203450,203450,203450,分时图,,,0,0,0,0,203450,0,0,0,0,0,0,0,0,0,0
7,2023-10-31 21:39:00,168.4,168.4,168.48,168.4,212294,212294,212294,分时图,,,0,0,0,0,212294,0,0,0,0,0,0,0,0,0,0
8,2023-10-31 21:40:00,168.39,168.53,168.53,168.36,202278,202278,202278,分时图,,,0,0,0,0,202278,0,0,0,0,0,0,0,0,0,0
9,2023-10-31 21:41:00,168.46,168.49,168.51,168.39,187109,187109,187109,分时图,,,0,0,0,0,187109,0,0,0,0,0,0,0,0,0,0
10,2023-10-31 21:42:00,168.5,168.46,168.51,168.43,128219,128219,128219,分时图,,,0,0,0,0,128219,0,0,0,0,0,0,0,0,0,0
11,2023-10-31 21:43:00,168.52,168.31,168.52,168.31,151004,151004,151004,分时图,,,0,0,0,0,151004,0,0,0,0,0,0,0,0,0,0
12,2023-10-31 21:44:00,168.42,168.49,168.49,168.42,112000,112000,112000,分时图,,,0,0,0,0,112000,0,0,0,0,0,0,0,0,0,0
13,2023-10-31 21:45:00,168.38,168.27,168.38,168.26,134025,134025,134025,分时图,,,0,0,0,0,134025,0,0,0,0,0,0,0,0,0,0
14,2023-10-31 21:46:00,168.24,168.53,168.53,168.24,160287,160287,160287,分时图,,,0,0,0,0,160287,0,0,0,0,0,0,0,0,0,0
15,2023-10-31 21:47:00,168.56,168.52,168.64,168.52,162015,162015,162015,分时图,,,0,0,0,0,162015,0,0,0,0,0,0,0,0,0,0
16,2023-10-31 21:48:00,168.58,168.56,168.59,168.51,93950,93950,93950,分时图,,,0,0,0,0,93950,0,0,0,0,0,0,0,0,0,0
17,2023-10-31 21:49:00,168.54,168.57,168.65,168.49,91320,91320,91320,分时图,,,0,0,0,0,91320,0,0,0,0,0,0,0,0,0,0
18,2023-10-31 21:50:00,168.57,168.63,168.63,168.52,89113,89113,89113,分时图,,,0,0,0,0,89113,0,0,0,0,0,0,0,0,0,0
19,2023-10-31 21:51:00,168.59,168.49,168.59,168.45,79158,79158,79158,分时图,,,0,0,0,0,79158,0,0,0,0,0,0,0,0,0,0
20,2023-10-31 21:52:00,168.49,168.45,168.52,168.45,104909,104909,104909,分时图,,,0,0,0,0,104909,0,0,0,0,0,0,0,0,0,0
21,2023-10-31 21:53:00,168.39,168.14,168.39,168.14,145639,145639,145639,分时图,,,0,0,0,0,145639,0,0,0,0,0,0,0,0,0,0
22,2023-10-31 21:54:00,168.16,167.98,168.16,167.93,266397,266397,266397,分时图,,,0,0,0,0,266397,0,0,0,0,0,0,0,0,0,0
23,2023-10-31 21:55:00,168.03,168.19,168.27,167.96,190656,190656,190656,分时图,,,0,0,0,0,190656,0,0,0,0,0,0,0,0,0,0
24,2023-10-31 21:56:00,168.2,168.17,168.34,168.17,123583,123583,123583,分时图,,,0,0,0,0,123583,0,0,0,0,0,0,0,0,0,0
25,2023-10-31 21:57:00,168.12,168.34,168.34,168.12,121565,121565,121565,分时图,,,0,0,0,0,121565,0,0,0,0,0,0,0,0,0,0
26,2023-10-31 21:58:00,168.39,168.36,168.42,168.33,112459,112459,112459,分时图,,,0,0,0,0,112459,0,0,0,0,0,0,0,0,0,0
27,2023-10-31 21:59:00,168.38,168.44,168.44,168.36,81809,81809,81809,分时图,,,0,0,0,0,81809,0,0,0,0,0,0,0,0,0,0
28,2023-10-31 22:00:00,168.5,168.6,168.6,168.5,120954,120954,120954,分时图,,,0,0,0,0,120954,0,0,0,0,0,0,0,0,0,0
29,2023-10-31 22:01:00,168.57,168.52,168.57,168.49,114569,114569,114569,分时图,,,0,0,0,0,114569,0,0,0,0,0,0,0,0,0,0
30,2023-10-31 22:02:00,168.39,168.52,168.58,168.39,122412,122412,122412,分时图,,,0,0,0,0,122412,0,0,0,0,0,0,0,0,0,0
31,2023-10-31 22:03:00,168.48,168.48,168.52,168.45,104980,104980,104980,分时图,,,0,0,0,0,104980,0,0,0,0,0,0,0,0,0,0
32,2023-10-31 22:04:00,168.48,168.48,168.58,168.48,96138,96138,96138,分时图,,,0,0,0,0,96138,0,0,0,0,0,0,0,0,0,0
33,2023-10-31 22:05:00,168.45,168.43,168.46,168.37,111418,111418,111418,分时图,,,0,0,0,0,111418,0,0,0,0,0,0,0,0,0,0
34,2023-10-31 22:06:00,168.48,168.35,168.48,168.35,85524,85524,85524,分时图,,,0,0,0,0,85524,0,0,0,0,0,0,0,0,0,0
35,2023-10-31 22:07:00,168.37,168.61,168.61,168.37,102922,102922,102922,分时图,,,0,0,0,0,102922,0,0,0,0,0,0,0,0,0,0
36,2023-10-31 22:08:00,168.73,168.91,168.91,168.73,180988,180988,180988,分时图,,,0,0,0,0,180988,0,0,0,0,0,0,0,0,0,0
37,2023-10-31 22:09:00,168.81,168.76,168.82,168.76,90526,90526,90526,分时图,,,0,0,0,0,90526,0,0,0,0,0,0,0,0,0,0
38,2023-10-31 22:10:00,168.76,168.84,168.84,168.7,85309,85309,85309,分时图,,,0,0,0,0,85309,0,0,0,0,0,0,0,0,0,0
39,2023-10-31 22:11:00,169.02,169.01,169.07,168.97,229536,229536,229536,分时图,,,0,0,0,0,229536,0,0,0,0,0,0,0,0,0,0
40,2023-10-31 22:12:00,169.09,169.15,169.22,169.03,217343,217343,217343,分时图,,,0,0,0,0,217343,0,0,0,0,0,0,0,0,0,0
41,2023-10-31 22:13:00,169.08,169.02,169.08,169.02,212703,212703,212703,分时图,,,0,0,0,0,212703,0,0,0,0,0,0,0,0,0,0
42,2023-10-31 22:14:00,168.99,169.09,169.12,168.99,126715,126715,126715,分时图,,,0,0,0,0,126715,0,0,0,0,0,0,0,0,0,0
43,2023-10-31 22:15:00,169.02,168.99,169.02,168.96,84515,84515,84515,分时图,,,0,0,0,0,84515,0,0,0,0,0,0,0,0,0,0
44,2023-10-31 22:16:00,169.04,169.1,169.1,169.02,95108,95108,95108,分时图,,,0,0,0,0,95108,0,0,0,0,0,0,0,0,0,0
45,2023-10-31 22:17:00,169.07,169.11,169.15,169.07,116032,116032,116032,分时图,,,0,0,0,0,116032,0,0,0,0,0,0,0,0,0,0
46,2023-10-31 22:18:00,169.15,169.26,169.27,169.15,75385,75385,75385,分时图,,,0,0,0,0,75385,0,0,0,0,0,0,0,0,0,0
47,2023-10-31 22:19:00,169.24,169.1,169.24,169.1,101642,101642,101642,分时图,,,0,0,0,0,101642,0,0,0,0,0,0,0,0,0,0
48,2023-10-31 22:20:00,169.14,169.21,169.21,169.11,58344,58344,58344,分时图,,,0,0,0,0,58344,0,0,0,0,0,0,0,0,0,0
49,2023-10-31 22:21:00,169.22,169.31,169.34,169.22,249086,249086,249086,分时图,,,0,0,0,0,249086,0,0,0,0,0,0,0,0,0,0
50,2023-10-31 22:22:00,169.25,169.33,169.37,169.25,94561,94561,94561,分时图,,,0,0,0,0,94561,0,0,0,0,0,0,0,0,0,0
51,2023-10-31 22:23:00,169.39,169.38,169.45,169.32,115967,115967,115967,分时图,,,0,0,0,0,115967,0,0,0,0,0,0,0,0,0,0
52,2023-10-31 22:24:00,169.35,169.36,169.53,169.35,160826,160826,160826,分时图,,,0,0,0,0,160826,0,0,0,0,0,0,0,0,0,0
53,2023-10-31 22:25:00,169.28,169.39,169.42,169.28,98657,98657,98657,分时图,,,0,0,0,0,98657,0,0,0,0,0,0,0,0,0,0
54,2023-10-31 22:26:00,169.43,169.31,169.43,169.31,96917,96917,96917,分时图,,,0,0,0,0,96917,0,0,0,0,0,0,0,0,0,0
55,2023-10-31 22:27:00,169.34,169.31,169.34,169.25,93174,93174,93174,分时图,,,0,0,0,0,93174,0,0,0,0,0,0,0,0,0,0
56,2023-10-31 22:28:00,169.33,169.21,169.36,169.2,85111,85111,85111,分时图,,,0,0,0,0,85111,0,0,0,0,0,0,0,0,0,0
57,2023-10-31 22:29:00,169.2,169.2,169.2,169.07,119720,119720,119720,分时图,,,0,0,0,0,119720,0,0,0,0,0,0,0,0,0,0
58,2023-10-31 22:30:00,169.28,169.14,169.28,169.14,117157,117157,117157,分时图,,,0,0,0,0,117157,0,0,0,0,0,0,0,0,0,0
59,2023-10-31 22:31:00,169.14,169.12,169.24,169.11,129476,129476,129476,分时图,,,0,0,0,0,129476,0,0,0,0,0,0,0,0,0,0
60,2023-10-31 22:32:00,169.18,168.98,169.18,168.98,103454,103454,103454,分时图,,,0,0,0,0,103454,0,0,0,0,0,0,0,0,0,0
61,2023-10-31 22:33:00,168.96,169.01,169.01,168.93,93707,93707,93707,分时图,,,0,0,0,0,93707,0,0,0,0,0,0,0,0,0,0
62,2023-10-31 22:34:00,169.01,168.96,169.02,168.92,89593,89593,89593,分时图,,,0,0,0,0,89593,0,0,0,0,0,0,0,0,0,0
63,2023-10-31 22:35:00,168.98,168.95,169.0,168.95,69116,69116,69116,分时图,,,0,0,0,0,69116,0,0,0,0,0,0,0,0,0,0
64,2023-10-31 22:36:00,168.86,168.9,168.91,168.82,140487,140487,140487,分时图,,,0,0,0,0,140487,0,0,0,0,0,0,0,0,0,0
65,2023-10-31 22:37:00,168.95,168.96,169.0,168.9,59141,59141,59141,分时图,,,0,0,0,0,59141,0,0,0,0,0,0,0,0,0,0
66,2023-10-31 22:38:00,168.93,168.81,168.96,168.81,68346,68346,68346,分时图,,,0,0,0,0,68346,0,0,0,0,0,0,0,0,0,0
67,2023-10-31 22:39:00,168.76,168.83,168.93,168.76,82998,82998,82998,分时图,,,0,0,0,0,82998,0,0,0,0,0,0,0,0,0,0
68,2023-10-31 22:40:00,168.88,168.9,168.9,168.85,73902,73902,73902,分时图,,,0,0,0,0,73902,0,0,0,0,0,0,0,0,0,0
69,2023-10-31 22:41:00,168.85,168.91,168.91,168.84,56931,56931,56931,分时图,,,0,0,0,0,56931,0,0,0,0,0,0,0,0,0,0
70,2023-10-31 22:42:00,168.98,169.11,169.11,168.98,108147,108147,108147,分时图,,,0,0,0,0,108147,0,0,0,0,0,0,0,0,0,0
71,2023-10-31 22:43:00,169.13,169.39,169.4,169.13,162801,162801,162801,分时图,,,0,0,0,0,162801,0,0,0,0,0,0,0,0,0,0
72,2023-10-31 22:44:00,169.4,169.54,169.54,169.4,119031,119031,119031,分时图,,,0,0,0,0,119031,0,0,0,0,0,0,0,0,0,0
73,2023-10-31 22:45:00,169.53,169.74,169.74,169.53,170264,170264,170264,分时图,,,0,0,0,0,170264,0,0,0,0,0,0,0,0,0,0
74,2023-10-31 22:46:00,169.74,169.8,169.85,169.71,141193,141193,141193,分时图,,,0,0,0,0,141193,0,0,0,0,0,0,0,0,0,0
75,2023-10-31 22:47:00,169.8,169.62,169.81,169.62,171495,171495,171495,分时图,,,0,0,0,0,171495,0,1,0,0,0,0,0,0,0,0
76,2023-10-31 22:48:00,169.59,169.57,169.59,169.52,144468,144468,144468,分时图,,,0,0,0,0,144468,0,0,0,0,0,0,0,0,0,0
77,2023-10-31 22:49:00,169.56,169.54,169.59,169.51,90527,90527,90527,分时图,,,0,0,0,0,90527,0,0,0,0,0,0,0,0,0,0
78,2023-10-31 22:50:00,169.49,169.43,169.49,169.38,110752,110752,110752,分时图,,,0,0,0,0,110752,0,0,0,0,0,0,0,0,0,0
79,2023-10-31 22:51:00,169.5,169.49,169.54,169.49,77090,77090,77090,分时图,,,0,0,0,0,77090,0,0,0,0,0,0,0,0,0,0
80,2023-10-31 22:52:00,169.52,169.62,169.62,169.5,65027,65027,65027,分时图,,,0,0,0,0,65027,0,0,0,0,0,0,0,0,0,0
81,2023-10-31 22:53:00,169.58,169.55,169.65,169.55,102761,102761,102761,分时图,,,0,0,0,0,102761,0,0,0,0,0,0,0,0,0,0
82,2023-10-31 22:54:00,169.55,169.66,169.66,169.55,96486,96486,96486,分时图,,,0,0,0,0,96486,0,0,0,0,0,0,0,0,0,0
83,2023-10-31 22:55:00,169.67,169.77,169.77,169.67,124351,124351,124351,分时图,,,0,0,0,0,124351,0,0,0,0,0,0,0,0,0,0
84,2023-10-31 22:56:00,169.79,169.63,169.79,169.63,139526,139526,139526,分时图,,,0,0,0,0,139526,0,0,0,0,0,0,0,0,0,0
85,2023-10-31 22:57:00,169.59,169.62,169.62,169.54,84708,84708,84708,分时图,,,0,0,0,0,84708,0,0,0,0,0,0,0,0,0,0
86,2023-10-31 22:58:00,169.6,169.6,169.61,169.54,62026,62026,62026,分时图,,,0,0,0,0,62026,0,0,0,0,0,0,0,0,0,0
87,2023-10-31 22:59:00,169.58,169.64,169.64,169.54,47620,47620,47620,分时图,,,0,0,0,0,47620,0,0,0,0,0,0,0,0,0,0
88,2023-10-31 23:00:00,169.62,169.7,169.74,169.62,96998,96998,96998,分时图,,,0,0,0,0,96998,0,0,0,0,0,0,0,0,0,0
89,2023-10-31 23:01:00,169.74,169.8,169.8,169.74,88914,88914,88914,分时图,,,0,0,0,0,88914,0,0,0,0,0,0,0,0,0,0
90,2023-10-31 23:02:00,169.77,169.59,169.77,169.59,68732,68732,68732,分时图,,,0,0,0,0,68732,0,0,0,0,0,0,0,0,0,0
91,2023-10-31 23:03:00,169.56,169.6,169.6,169.54,64793,64793,64793,分时图,,,0,0,0,0,64793,0,0,0,0,0,0,0,0,0,0
92,2023-10-31 23:04:00,169.55,169.57,169.57,169.49,56816,56816,56816,分时图,,,0,0,0,0,56816,0,0,0,0,0,0,0,0,0,0
93,2023-10-31 23:05:00,169.57,169.52,169.57,169.51,52879,52879,52879,分时图,,,0,0,0,0,52879,0,0,0,0,0,0,0,0,0,0
