,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2024-01-22 22:30:00,46.88,47.01,47.12,46.81,37884,37884,37884,分时图,0.24562532920451474,,0,0,0,0,37884,0,0,0,0,0,0,0,0,0,0
1,2024-01-22 22:31:00,47.0,47.0,47.1,46.93,27720,27720,27720,分时图,0.24562532920451474,,0,0,0,0,27720,0,0,0,0,0,0,0,0,0,0
2,2024-01-22 22:32:00,47.02,47.08,47.09,46.97,23505,23505,23505,分时图,0.24562532920451474,,0,0,0,0,23505,0,0,0,0,0,0,0,0,0,0
3,2024-01-22 22:33:00,47.09,47.43,47.44,47.09,22681,22681,22681,分时图,0.24562532920451474,,0,0,0,0,22681,0,0,0,0,0,0,0,0,0,0
4,2024-01-22 22:34:00,47.43,47.55,47.59,47.43,23939,23939,23939,分时图,0.24562532920451474,,0,0,0,0,23939,0,0,0,0,0,0,0,0,0,0
5,2024-01-22 22:35:00,47.55,47.52,47.58,47.48,25051,25051,25051,分时图,10.027264394823803,112.22400177383197,0,0,0,1,25051,0,1,0,0,0,0,0,0,0,0
6,2024-01-22 22:36:00,47.53,47.34,47.58,47.34,23664,23664,23664,分时图,10.027264394823803,112.22400177383197,0,0,0,1,23664,0,0,0,0,0,0,0,0,0,0
7,2024-01-22 22:37:00,47.33,47.49,47.52,47.33,21148,21148,21148,分时图,10.027264394823803,112.22400177383197,0,0,0,1,21148,0,0,0,0,0,0,0,0,0,0
8,2024-01-22 22:38:00,47.49,47.36,47.52,47.36,16711,16711,16711,分时图,10.027264394823803,112.22400177383197,0,0,0,1,16711,0,0,0,0,0,0,0,0,0,0
9,2024-01-22 22:39:00,47.37,47.32,47.41,47.25,15483,15483,15483,分时图,10.027264394823803,112.22400177383197,0,0,0,1,15483,0,0,0,0,0,0,0,0,0,0
10,2024-01-22 22:40:00,47.33,47.48,47.49,47.33,22041,22041,22041,分时图,22.412890302385037,112.22400177383197,0,0,0,1,22041,0,0,0,0,0,0,0,0,0,0
11,2024-01-22 22:41:00,47.49,47.62,47.62,47.49,16477,16477,16477,分时图,22.412890302385037,112.22400177383197,0,0,0,1,16477,0,0,0,0,0,0,0,0,0,0
12,2024-01-22 22:42:00,47.63,47.61,47.73,47.59,42331,42331,42331,分时图,22.412890302385037,112.22400177383197,0,0,0,1,42331,0,0,0,0,0,0,0,0,0,0
13,2024-01-22 22:43:00,47.6,47.57,47.61,47.51,13183,13183,13183,分时图,22.412890302385037,112.22400177383197,0,0,0,1,13183,0,0,0,0,0,0,0,0,0,0
14,2024-01-22 22:44:00,47.57,47.6,47.61,47.52,15322,15322,15322,分时图,22.412890302385037,112.22400177383197,0,0,0,1,15322,0,0,0,0,0,0,0,0,0,0
15,2024-01-22 22:45:00,47.61,47.49,47.62,47.48,19520,19520,19520,分时图,35.545390945595955,112.22400177383197,0,0,0,1,19520,0,0,0,0,0,0,0,0,0,0
16,2024-01-22 22:46:00,47.49,47.65,47.7,47.49,18685,18685,18685,分时图,35.545390945595955,112.22400177383197,0,0,0,1,18685,0,0,0,0,0,0,0,0,0,0
17,2024-01-22 22:47:00,47.66,47.63,47.68,47.61,9400,9400,9400,分时图,35.545390945595955,112.22400177383197,0,0,0,1,9400,0,0,0,0,0,0,0,0,0,0
18,2024-01-22 22:48:00,47.63,47.76,47.76,47.63,11860,11860,11860,分时图,35.545390945595955,112.22400177383197,0,0,0,1,11860,0,0,0,0,0,0,0,0,0,0
19,2024-01-22 22:49:00,47.8,47.92,47.95,47.8,32881,32881,32881,分时图,35.545390945595955,112.22400177383197,0,0,0,1,32881,0,0,0,0,0,0,0,0,0,0
20,2024-01-22 22:50:00,47.91,47.96,48.02,47.89,29009,29009,29009,分时图,47.73838976836815,112.22400177383197,0,0,0,1,29009,0,0,0,0,0,0,0,0,0,0
21,2024-01-22 22:51:00,47.95,47.96,48.0,47.9,18983,18983,18983,分时图,47.73838976836815,112.22400177383197,0,0,0,1,18983,0,0,0,0,0,0,0,0,0,0
22,2024-01-22 22:52:00,47.95,48.08,48.08,47.95,26140,26140,26140,分时图,47.73838976836815,112.22400177383197,0,0,0,1,26140,0,0,0,0,0,0,0,0,0,0
