,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2024-01-22 22:30:00,766.4,768.0,768.0,766.4,20051,20051,20051,分时图,,,0,0,0,0,20051,0,0,0,0,0,0,0,0,0,0
1,2024-01-22 22:31:00,768.25,771.27,771.45,768.25,6635,6635,6635,分时图,,,0,0,0,0,6635,0,0,0,0,0,0,0,0,0,0
2,2024-01-22 22:32:00,771.68,772.48,772.99,771.5,4198,4198,4198,分时图,,,0,0,0,0,4198,0,0,0,0,0,0,0,0,0,0
3,2024-01-22 22:33:00,773.5,775.32,775.32,773.37,11411,11411,11411,分时图,,,0,0,0,0,11411,0,0,0,0,0,0,0,0,0,0
4,2024-01-22 22:34:00,775.06,775.03,775.17,774.44,3874,3874,3874,分时图,10.305824245611333,,0,0,0,0,3874,0,1,0,0,0,0,0,0,0,0
5,2024-01-22 22:35:00,775.46,776.0,776.48,775.46,3016,3016,3016,分时图,10.305824245611333,,0,0,0,0,3016,0,0,0,0,0,0,0,0,0,0
6,2024-01-22 22:36:00,776.03,775.0,776.03,775.0,3299,3299,3299,分时图,10.305824245611333,,0,0,0,0,3299,0,0,0,0,0,0,0,0,0,0
7,2024-01-22 22:37:00,773.81,774.5,774.5,773.81,1300,1300,1300,分时图,10.305824245611333,,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0
8,2024-01-22 22:38:00,774.09,772.24,774.09,772.24,882,882,882,分时图,10.305824245611333,,0,0,0,0,882,0,0,0,0,0,0,0,0,0,0
9,2024-01-22 22:39:00,772.74,772.0,772.74,771.99,800,800,800,分时图,14.16909751129495,,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0
10,2024-01-22 22:40:00,772.51,772.33,772.51,772.33,300,300,300,分时图,14.16909751129495,,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
11,2024-01-22 22:41:00,771.92,770.0,771.92,770.0,500,500,500,分时图,14.16909751129495,,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0
12,2024-01-22 22:42:00,769.93,770.41,770.41,769.93,215,215,215,分时图,14.16909751129495,,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0
13,2024-01-22 22:43:00,770.41,770.41,770.41,770.41,0,0,0,分时图,14.16909751129495,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2024-01-22 22:44:00,769.2,769.64,769.64,769.2,996,996,996,分时图,20.523643262647894,,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0
15,2024-01-22 22:45:00,770.23,769.63,770.25,769.44,744,744,744,分时图,20.523643262647894,,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0
16,2024-01-22 22:46:00,770.99,770.99,770.99,770.99,100,100,100,分时图,20.523643262647894,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
17,2024-01-22 22:47:00,771.35,771.52,771.52,771.35,200,200,200,分时图,20.523643262647894,,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0
18,2024-01-22 22:48:00,772.08,772.28,772.28,772.07,376,376,376,分时图,20.523643262647894,,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0
19,2024-01-22 22:49:00,772.39,772.07,772.72,772.03,1362,1362,1362,分时图,29.538231001001762,88.1394942343243,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0
20,2024-01-22 22:50:00,771.82,771.76,771.82,771.66,350,350,350,分时图,29.538231001001762,88.1394942343243,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0
21,2024-01-22 22:51:00,772.76,772.51,773.01,772.51,1087,1087,1087,分时图,29.538231001001762,88.1394942343243,0,0,0,0,1087,0,0,0,0,0,0,0,0,0,0
22,2024-01-22 22:52:00,772.76,773.42,773.51,772.76,730,730,730,分时图,29.538231001001762,88.1394942343243,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0
23,2024-01-22 22:53:00,773.5,774.45,774.67,773.23,900,900,900,分时图,29.538231001001762,88.1394942343243,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0
24,2024-01-22 22:54:00,774.73,774.32,774.86,774.32,610,610,610,分时图,37.07479388291925,88.1394942343243,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0
25,2024-01-22 22:55:00,774.97,774.13,774.97,774.13,848,848,848,分时图,37.07479388291925,88.1394942343243,0,0,0,0,848,0,0,0,0,0,0,0,0,0,0
26,2024-01-22 22:56:00,774.75,774.28,775.0,773.88,1593,1593,1593,分时图,37.07479388291925,88.1394942343243,0,0,0,0,1593,0,0,0,0,0,0,0,0,0,0
27,2024-01-22 22:57:00,774.36,774.36,774.36,774.36,100,100,100,分时图,37.07479388291925,88.1394942343243,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
28,2024-01-22 22:58:00,774.39,774.08,774.39,773.98,728,728,728,分时图,37.07479388291925,88.1394942343243,0,0,0,0,728,0,0,0,0,0,0,0,0,0,0
29,2024-01-22 22:59:00,774.34,774.18,774.34,774.13,687,687,687,分时图,42.206411772045456,88.1394942343243,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0
30,2024-01-22 23:00:00,774.89,774.62,774.89,774.62,200,200,200,分时图,42.206411772045456,88.1394942343243,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0
31,2024-01-22 23:01:00,774.6,774.88,774.99,774.6,305,305,305,分时图,42.206411772045456,88.1394942343243,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0
32,2024-01-22 23:02:00,775.44,774.47,775.44,774.43,708,708,708,分时图,42.206411772045456,88.1394942343243,0,0,0,0,708,0,0,0,0,0,0,0,0,0,0
33,2024-01-22 23:03:00,774.39,773.0,774.39,773.0,500,500,500,分时图,42.206411772045456,88.1394942343243,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0
34,2024-01-22 23:04:00,772.81,772.87,772.9,772.54,1270,1270,1270,分时图,45.80079714406098,88.1394942343243,0,0,0,0,1270,0,0,0,0,0,0,0,0,0,0
35,2024-01-22 23:05:00,772.71,773.51,773.51,772.51,875,875,875,分时图,45.80079714406098,88.1394942343243,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0
36,2024-01-22 23:06:00,773.74,773.62,773.74,773.62,531,531,531,分时图,45.80079714406098,88.1394942343243,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0
37,2024-01-22 23:07:00,773.41,773.31,773.41,773.31,241,241,241,分时图,45.80079714406098,88.1394942343243,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0
38,2024-01-22 23:08:00,772.61,772.33,772.61,772.33,750,750,750,分时图,45.80079714406098,88.1394942343243,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0
39,2024-01-22 23:09:00,773.06,773.03,773.06,773.03,350,350,350,分时图,52.07413327743579,88.1394942343243,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0
40,2024-01-22 23:10:00,773.89,773.82,773.89,773.82,200,200,200,分时图,52.07413327743579,88.1394942343243,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0
41,2024-01-22 23:11:00,773.06,773.06,773.06,773.06,100,100,100,分时图,52.07413327743579,88.1394942343243,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
42,2024-01-22 23:12:00,774.25,774.29,774.29,774.25,209,209,209,分时图,52.07413327743579,88.1394942343243,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0
43,2024-01-22 23:13:00,774.35,774.35,774.35,774.35,128,128,128,分时图,52.07413327743579,88.1394942343243,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0
44,2024-01-22 23:14:00,774.46,774.46,774.46,774.46,121,121,121,分时图,56.002896521531966,88.1394942343243,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0
45,2024-01-22 23:15:00,774.45,774.45,774.45,774.45,120,120,120,分时图,56.002896521531966,88.1394942343243,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0
46,2024-01-22 23:16:00,774.45,774.45,774.45,774.45,0,0,0,分时图,56.002896521531966,88.1394942343243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2024-01-22 23:17:00,774.15,774.09,774.15,774.09,400,400,400,分时图,56.002896521531966,88.1394942343243,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
48,2024-01-22 23:18:00,773.81,773.24,773.81,773.24,746,746,746,分时图,56.002896521531966,88.1394942343243,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0
49,2024-01-22 23:19:00,773.4,773.47,773.47,773.4,200,200,200,分时图,59.41667171767365,84.03119648840553,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0
50,2024-01-22 23:20:00,773.19,773.39,773.39,772.96,450,450,450,分时图,59.41667171767365,84.03119648840553,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0
51,2024-01-22 23:21:00,773.35,773.4,773.41,773.35,350,350,350,分时图,59.41667171767365,84.03119648840553,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0
52,2024-01-22 23:22:00,773.17,773.17,773.17,773.17,105,105,105,分时图,59.41667171767365,84.03119648840553,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0
53,2024-01-22 23:23:00,773.18,773.18,773.18,773.18,100,100,100,分时图,59.41667171767365,84.03119648840553,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
54,2024-01-22 23:24:00,772.8,772.8,772.8,772.8,100,100,100,分时图,59.257305582242495,84.03119648840553,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
55,2024-01-22 23:25:00,772.86,773.15,773.15,772.83,659,659,659,分时图,59.257305582242495,84.03119648840553,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0
56,2024-01-22 23:26:00,772.75,773.13,773.4,772.75,722,722,722,分时图,59.257305582242495,84.03119648840553,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0
57,2024-01-22 23:27:00,773.05,772.78,773.05,772.78,500,500,500,分时图,59.257305582242495,84.03119648840553,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0
58,2024-01-22 23:28:00,772.03,771.06,772.12,771.06,1824,1824,1824,分时图,59.257305582242495,84.03119648840553,0,0,0,0,1824,0,0,0,0,0,0,0,0,0,0
59,2024-01-22 23:29:00,771.11,771.36,771.59,771.1,1715,1715,1715,分时图,57.510555718815084,84.03119648840553,0,0,0,0,1715,0,0,0,0,0,0,0,0,0,0
60,2024-01-22 23:30:00,771.14,769.9,771.14,769.9,1578,1578,1578,分时图,57.510555718815084,84.03119648840553,0,0,0,0,1578,0,0,0,0,0,0,0,0,0,0
61,2024-01-22 23:31:00,769.87,769.25,769.87,769.25,2734,2734,2734,分时图,57.510555718815084,84.03119648840553,0,0,0,0,2734,0,0,0,0,0,0,0,0,0,0
62,2024-01-22 23:32:00,769.01,769.1,769.1,768.75,856,856,856,分时图,57.510555718815084,84.03119648840553,0,0,0,0,856,0,0,0,0,0,0,0,0,0,0
63,2024-01-22 23:33:00,769.51,770.0,770.0,769.39,1405,1405,1405,分时图,57.510555718815084,84.03119648840553,0,0,0,0,1405,0,0,0,0,0,0,0,0,0,0
