,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2024-01-22 22:30:00,148.67,149.32,149.63,148.67,383949,383949,383949,分时图,,,0,0,0,0,383949,0,0,0,0,0,0,0,0,0,0
1,2024-01-22 22:31:00,149.35,149.63,149.78,149.17,107130,107130,107130,分时图,12.829033295246845,,0,0,0,0,107130,0,0,0,0,0,0,0,0,0,0
2,2024-01-22 22:32:00,149.63,149.59,149.85,149.44,63643,63643,63643,分时图,12.829033295246845,,0,0,0,0,63643,0,0,0,0,0,0,0,0,0,0
3,2024-01-22 22:33:00,149.59,149.72,149.8,149.41,55841,55841,55841,分时图,12.829033295246845,,0,0,0,0,55841,0,0,0,0,0,0,0,0,0,0
4,2024-01-22 22:34:00,149.79,149.77,150.01,149.67,214009,214009,214009,分时图,12.829033295246845,,0,0,0,0,214009,0,0,0,0,0,0,0,0,0,0
5,2024-01-22 22:35:00,149.77,149.87,149.94,149.71,25872,25872,25872,分时图,12.829033295246845,,0,0,0,0,25872,0,0,0,0,0,0,0,0,0,0
6,2024-01-22 22:36:00,149.87,149.47,149.88,149.41,24214,24214,24214,分时图,13.608533372227143,93.573764942894,0,0,0,0,24214,0,0,0,0,0,0,0,0,0,0
7,2024-01-22 22:37:00,149.47,149.65,149.75,149.44,13067,13067,13067,分时图,13.608533372227143,93.573764942894,0,0,0,0,13067,0,0,0,0,0,0,0,0,0,0
8,2024-01-22 22:38:00,149.63,149.44,149.63,149.26,21164,21164,21164,分时图,13.608533372227143,93.573764942894,0,0,0,0,21164,0,0,0,0,0,0,0,0,0,0
9,2024-01-22 22:39:00,149.46,149.36,149.52,149.3,19001,19001,19001,分时图,13.608533372227143,93.573764942894,0,0,0,0,19001,0,0,0,0,0,0,0,0,0,0
10,2024-01-22 22:40:00,149.36,149.14,149.36,149.14,11870,11870,11870,分时图,13.608533372227143,93.573764942894,0,0,0,0,11870,0,0,0,0,0,0,0,0,0,0
11,2024-01-22 22:41:00,149.13,149.1,149.16,149.05,12879,12879,12879,分时图,18.327949004124747,93.573764942894,0,0,0,0,12879,0,0,0,0,0,0,0,0,0,0
12,2024-01-22 22:42:00,149.11,149.17,149.22,149.04,9993,9993,9993,分时图,18.327949004124747,93.573764942894,0,0,0,0,9993,0,0,0,0,0,0,0,0,0,0
13,2024-01-22 22:43:00,149.16,149.17,149.18,149.07,10630,10630,10630,分时图,18.327949004124747,93.573764942894,0,0,0,0,10630,0,0,0,0,0,0,0,0,0,0
14,2024-01-22 22:44:00,149.2,149.08,149.28,149.07,14307,14307,14307,分时图,18.327949004124747,93.573764942894,0,0,0,0,14307,0,0,0,0,0,0,0,0,0,0
15,2024-01-22 22:45:00,149.08,149.43,149.49,149.05,22770,22770,22770,分时图,18.327949004124747,93.573764942894,0,0,0,0,22770,0,0,0,0,0,0,0,0,0,0
16,2024-01-22 22:46:00,149.44,149.5,149.51,149.34,11937,11937,11937,分时图,25.058966485402763,93.573764942894,0,0,0,0,11937,0,0,0,0,0,0,0,0,0,0
17,2024-01-22 22:47:00,149.55,149.47,149.55,149.46,10919,10919,10919,分时图,25.058966485402763,93.573764942894,0,0,0,0,10919,0,0,0,0,0,0,0,0,0,0
18,2024-01-22 22:48:00,149.47,149.4,149.59,149.39,11111,11111,11111,分时图,25.058966485402763,93.573764942894,0,0,0,0,11111,0,0,0,0,0,0,0,0,0,0
19,2024-01-22 22:49:00,149.38,149.43,149.45,149.33,6552,6552,6552,分时图,25.058966485402763,93.573764942894,0,0,0,0,6552,0,0,0,0,0,0,0,0,0,0
20,2024-01-22 22:50:00,149.43,149.61,149.61,149.42,15312,15312,15312,分时图,25.058966485402763,93.573764942894,0,0,0,0,15312,0,0,0,0,0,0,0,0,0,0
21,2024-01-22 22:51:00,149.6,149.76,149.78,149.53,14829,14829,14829,分时图,34.246833619781086,93.573764942894,0,0,0,0,14829,0,0,0,0,0,0,0,0,0,0
22,2024-01-22 22:52:00,149.75,149.83,149.88,149.75,11043,11043,11043,分时图,34.246833619781086,93.573764942894,0,0,0,0,11043,0,0,0,0,0,0,0,0,0,0
23,2024-01-22 22:53:00,149.83,149.76,149.91,149.76,8571,8571,8571,分时图,34.246833619781086,93.573764942894,0,0,0,0,8571,0,0,0,0,0,0,0,0,0,0
