,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2024-01-22 22:30:00,387.95,388.17,389.5,387.8,323094,323094,323094,分时图,,,0,0,0,0,323094,0,0,0,0,0,0,0,0,0,0
1,2024-01-22 22:31:00,388.28,388.96,389.16,387.85,15289,15289,15289,分时图,39.972348835340966,,0,0,0,0,15289,0,0,0,0,0,0,0,0,0,0
2,2024-01-22 22:32:00,389.13,389.21,389.88,389.13,11746,11746,11746,分时图,39.972348835340966,,0,0,0,0,11746,0,0,0,0,0,0,0,0,0,0
3,2024-01-22 22:33:00,389.45,389.48,389.64,388.86,12061,12061,12061,分时图,39.972348835340966,,0,0,0,0,12061,0,0,0,0,0,0,0,0,0,0
4,2024-01-22 22:34:00,389.5,390.22,390.22,389.39,28574,28574,28574,分时图,39.972348835340966,,0,0,0,0,28574,0,0,0,0,0,0,0,0,0,0
5,2024-01-22 22:35:00,390.07,389.95,390.31,389.75,10300,10300,10300,分时图,39.972348835340966,,0,0,0,0,10300,0,0,0,0,0,0,0,0,0,0
6,2024-01-22 22:36:00,389.97,389.0,390.0,388.97,14918,14918,14918,分时图,32.243560384092774,,0,0,0,0,14918,0,0,0,0,0,0,0,0,0,0
7,2024-01-22 22:37:00,388.95,389.33,389.33,388.95,8203,8203,8203,分时图,32.243560384092774,,0,0,0,0,8203,0,0,0,0,0,0,0,0,0,0
8,2024-01-22 22:38:00,389.34,388.49,389.34,388.09,16215,16215,16215,分时图,32.243560384092774,,0,0,0,0,16215,0,0,0,0,0,0,0,0,0,0
9,2024-01-22 22:39:00,388.4,386.75,388.41,386.63,29663,29663,29663,分时图,32.243560384092774,,0,0,0,0,29663,0,0,0,0,0,0,0,0,0,0
10,2024-01-22 22:40:00,386.7,386.97,387.18,386.6,18730,18730,18730,分时图,32.243560384092774,,0,0,0,0,18730,0,0,0,0,0,0,0,0,0,0
11,2024-01-22 22:41:00,386.74,385.97,386.77,385.86,21207,21207,21207,分时图,23.51102167945288,,0,0,0,0,21207,0,0,0,0,0,0,0,0,0,0
12,2024-01-22 22:42:00,386.08,386.54,386.55,385.84,7933,7933,7933,分时图,23.51102167945288,,0,0,0,0,7933,0,0,0,0,0,0,0,0,0,0
13,2024-01-22 22:43:00,386.48,387.14,387.21,386.22,4205,4205,4205,分时图,23.51102167945288,,0,0,0,0,4205,0,0,0,0,0,0,0,0,0,0
14,2024-01-22 22:44:00,386.99,386.31,386.99,386.14,10394,10394,10394,分时图,23.51102167945288,,0,0,0,0,10394,0,0,0,0,0,0,0,0,0,0
15,2024-01-22 22:45:00,386.31,386.08,386.55,385.9,6538,6538,6538,分时图,23.51102167945288,,0,0,0,0,6538,0,0,0,0,0,0,0,0,0,0
16,2024-01-22 22:46:00,386.15,386.94,386.94,386.11,2362,2362,2362,分时图,22.79230820511401,,0,0,0,0,2362,0,0,0,0,0,0,0,0,0,0
17,2024-01-22 22:47:00,387.18,386.97,387.29,386.94,8644,8644,8644,分时图,22.79230820511401,,0,0,0,0,8644,0,0,0,0,0,0,0,0,0,0
18,2024-01-22 22:48:00,387.02,387.38,387.46,386.96,20342,20342,20342,分时图,22.79230820511401,,0,0,0,0,20342,0,0,0,0,0,0,0,0,0,0
19,2024-01-22 22:49:00,387.38,387.79,387.79,386.93,16706,16706,16706,分时图,22.79230820511401,,0,0,0,0,16706,0,0,0,0,0,0,0,0,0,0
20,2024-01-22 22:50:00,387.71,387.71,388.0,387.51,9738,9738,9738,分时图,22.79230820511401,,0,0,0,0,9738,0,0,0,0,0,0,0,0,0,0
21,2024-01-22 22:51:00,387.75,387.78,387.85,387.5,5932,5932,5932,分时图,21.82331902607899,,0,0,0,0,5932,0,0,0,0,0,0,0,0,0,0
22,2024-01-22 22:52:00,387.68,387.69,387.83,387.48,9195,9195,9195,分时图,21.82331902607899,,0,0,0,0,9195,0,0,0,0,0,0,0,0,0,0
23,2024-01-22 22:53:00,387.66,387.61,387.76,387.48,3223,3223,3223,分时图,21.82331902607899,,0,0,0,0,3223,0,0,0,0,0,0,0,0,0,0
24,2024-01-22 22:54:00,387.62,387.39,387.69,387.2,10629,10629,10629,分时图,21.82331902607899,,0,0,0,0,10629,0,0,0,0,0,0,0,0,0,0
25,2024-01-22 22:55:00,387.4,387.61,387.61,387.01,7746,7746,7746,分时图,21.82331902607899,,0,0,0,0,7746,0,0,0,0,0,0,0,0,0,0
26,2024-01-22 22:56:00,387.73,387.68,388.08,387.5,9177,9177,9177,分时图,19.690084091370835,88.71220962134146,0,0,0,0,9177,0,0,0,0,0,0,0,0,0,0
27,2024-01-22 22:57:00,387.68,387.12,387.76,387.0,9884,9884,9884,分时图,19.690084091370835,88.71220962134146,0,0,0,0,9884,0,0,0,0,0,0,0,0,0,0
28,2024-01-22 22:58:00,387.13,387.3,387.35,387.0,3400,3400,3400,分时图,19.690084091370835,88.71220962134146,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,0
29,2024-01-22 22:59:00,387.29,387.54,387.54,387.29,5860,5860,5860,分时图,19.690084091370835,88.71220962134146,0,0,0,0,5860,0,0,0,0,0,0,0,0,0,0
30,2024-01-22 23:00:00,387.78,387.29,387.93,387.21,8724,8724,8724,分时图,19.690084091370835,88.71220962134146,0,0,0,0,8724,0,0,0,0,0,0,0,0,0,0
31,2024-01-22 23:01:00,387.19,386.75,387.24,386.68,6990,6990,6990,分时图,14.077994141696479,88.71220962134146,0,0,0,0,6990,0,0,0,0,0,0,0,0,0,0
32,2024-01-22 23:02:00,386.65,386.09,386.65,385.85,8894,8894,8894,分时图,14.077994141696479,88.71220962134146,0,0,0,0,8894,0,0,0,0,0,0,0,0,0,0
33,2024-01-22 23:03:00,386.04,386.5,386.5,386.04,3095,3095,3095,分时图,14.077994141696479,88.71220962134146,0,0,0,0,3095,0,0,0,0,0,0,0,0,0,0
34,2024-01-22 23:04:00,386.44,385.84,386.44,385.82,11865,11865,11865,分时图,14.077994141696479,88.71220962134146,0,0,0,0,11865,0,0,0,0,0,0,0,0,0,0
