,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2024-01-22 22:30:00,399.91,399.72,400.26,399.28,759992,759992,759992,分时图,,,0,0,0,0,759992,0,0,0,0,0,0,0,0,0,0
1,2024-01-22 22:31:00,399.81,399.94,400.03,399.21,25299,25299,25299,分时图,,,0,0,0,0,25299,0,0,0,0,0,0,0,0,0,0
2,2024-01-22 22:32:00,399.88,399.58,400.61,399.51,28195,28195,28195,分时图,4.772922761945395,,0,0,0,0,28195,0,0,0,0,0,0,0,0,0,0
3,2024-01-22 22:33:00,399.54,398.58,399.65,398.21,52106,52106,52106,分时图,4.772922761945395,,0,0,0,0,52106,0,0,0,0,0,0,0,0,0,0
4,2024-01-22 22:34:00,398.64,397.84,399.11,397.73,26246,26246,26246,分时图,4.772922761945395,,0,0,0,0,26246,0,0,0,0,0,0,0,0,0,0
5,2024-01-22 22:35:00,397.84,398.79,398.93,397.84,16036,16036,16036,分时图,4.772922761945395,,0,0,0,0,16036,0,0,0,0,0,0,0,0,0,0
6,2024-01-22 22:36:00,398.73,398.0,398.73,397.96,28615,28615,28615,分时图,4.772922761945395,,0,0,0,0,28615,0,0,0,0,0,0,0,0,0,0
7,2024-01-22 22:37:00,398.07,398.48,398.48,397.9,27142,27142,27142,分时图,0.497176235617971,78.16145809940139,0,0,0,0,27142,0,0,0,0,0,0,0,0,0,0
8,2024-01-22 22:38:00,398.52,398.51,398.75,398.42,20571,20571,20571,分时图,0.497176235617971,78.16145809940139,0,0,0,0,20571,0,0,0,0,0,0,0,0,0,0
9,2024-01-22 22:39:00,398.52,398.25,398.73,398.13,28892,28892,28892,分时图,0.497176235617971,78.16145809940139,0,0,0,0,28892,0,0,0,0,0,0,0,0,0,0
10,2024-01-22 22:40:00,398.44,398.5,398.61,398.12,8503,8503,8503,分时图,0.497176235617971,78.16145809940139,0,0,0,0,8503,0,0,0,0,0,0,0,0,0,0
11,2024-01-22 22:41:00,398.42,397.85,398.42,397.75,26794,26794,26794,分时图,0.497176235617971,78.16145809940139,0,0,0,0,26794,0,0,0,0,0,0,0,0,0,0
12,2024-01-22 22:42:00,397.87,397.32,398.12,397.26,24172,24172,24172,分时图,-0.8099873540733,78.16145809940139,1,0,0,0,24172,0,0,0,0,0,0,0,0,0,0
13,2024-01-22 22:43:00,397.3,397.13,397.3,396.7,21350,21350,21350,分时图,-0.8099873540733,78.16145809940139,1,0,0,0,21350,0,0,0,0,0,0,0,0,0,0
14,2024-01-22 22:44:00,397.11,396.28,397.11,395.63,31311,31311,31311,分时图,-0.8099873540733,78.16145809940139,1,0,0,0,31311,0,0,0,0,0,0,0,0,0,0
15,2024-01-22 22:45:00,396.28,396.38,396.4,395.49,20639,20639,20639,分时图,-0.8099873540733,78.16145809940139,1,0,0,0,20639,1,0,0,0,0,0,0,0,0,0
16,2024-01-22 22:46:00,396.38,396.37,396.82,396.2,13032,13032,13032,分时图,-0.8099873540733,78.16145809940139,1,0,0,0,13032,0,0,0,0,0,0,0,0,0,0
17,2024-01-22 22:47:00,396.37,396.95,397.07,396.37,15286,15286,15286,分时图,2.192572970496954,78.16145809940139,0,0,0,0,15286,0,0,0,0,0,0,0,0,0,0
18,2024-01-22 22:48:00,397.0,397.18,397.27,396.94,23442,23442,23442,分时图,2.192572970496954,78.16145809940139,0,0,0,0,23442,0,0,0,0,0,0,0,0,0,0
19,2024-01-22 22:49:00,397.15,397.04,397.3,396.75,15990,15990,15990,分时图,2.192572970496954,78.16145809940139,0,0,0,0,15990,0,0,0,0,0,0,0,0,0,0
20,2024-01-22 22:50:00,396.99,397.34,397.42,396.81,10529,10529,10529,分时图,2.192572970496954,78.16145809940139,0,0,0,0,10529,0,0,0,0,0,0,0,0,0,0
21,2024-01-22 22:51:00,397.3,397.51,397.51,397.0,10764,10764,10764,分时图,2.192572970496954,78.16145809940139,0,0,0,0,10764,0,0,0,0,0,0,0,0,0,0
22,2024-01-22 22:52:00,397.51,397.35,397.56,397.24,10317,10317,10317,分时图,5.4650585289203235,78.16145809940139,0,0,0,0,10317,0,0,0,0,0,0,0,0,0,0
23,2024-01-22 22:53:00,397.35,397.24,397.48,397.19,13243,13243,13243,分时图,5.4650585289203235,78.16145809940139,0,0,0,0,13243,0,0,0,0,0,0,0,0,0,0
24,2024-01-22 22:54:00,397.25,397.15,397.35,396.96,13480,13480,13480,分时图,5.4650585289203235,78.16145809940139,0,0,0,0,13480,0,0,0,0,0,0,0,0,0,0
25,2024-01-22 22:55:00,397.32,397.32,397.34,396.93,7224,7224,7224,分时图,5.4650585289203235,78.16145809940139,0,0,0,0,7224,0,0,0,0,0,0,0,0,0,0
26,2024-01-22 22:56:00,397.32,397.65,397.65,397.29,12648,12648,12648,分时图,5.4650585289203235,78.16145809940139,0,0,0,0,12648,0,0,0,0,0,0,0,0,0,0
27,2024-01-22 22:57:00,397.6,397.34,397.6,397.34,9002,9002,9002,分时图,7.472230763200898,78.16145809940139,0,0,0,0,9002,0,0,0,0,0,0,0,0,0,0
28,2024-01-22 22:58:00,397.18,397.36,397.44,397.05,6000,6000,6000,分时图,7.472230763200898,78.16145809940139,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0
29,2024-01-22 22:59:00,397.45,398.02,398.2,397.45,17169,17169,17169,分时图,7.472230763200898,78.16145809940139,0,0,0,0,17169,0,0,0,0,0,0,0,0,0,0
30,2024-01-22 23:00:00,398.01,397.56,398.28,397.55,17350,17350,17350,分时图,7.472230763200898,78.16145809940139,0,0,0,0,17350,0,0,0,0,0,0,0,0,0,0
31,2024-01-22 23:01:00,397.51,397.37,397.56,397.18,22174,22174,22174,分时图,7.472230763200898,78.16145809940139,0,0,0,0,22174,0,0,0,0,0,0,0,0,0,0
32,2024-01-22 23:02:00,397.38,396.66,397.45,396.43,26781,26781,26781,分时图,4.743875626845124,78.16145809940139,0,0,0,0,26781,0,0,0,0,0,0,0,0,0,0
