,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2024-01-22 22:30:00,487.91,487.74,489.0,487.71,77902,77902,77902,分时图,,,0,0,0,0,77902,0,0,0,0,0,0,0,0,0,0
1,2024-01-22 22:31:00,487.68,487.83,488.23,487.4,2269,2269,2269,分时图,,,0,0,0,0,2269,0,0,0,0,0,0,0,0,0,0
2,2024-01-22 22:32:00,488.13,488.4,489.07,488.13,1348,1348,1348,分时图,13.453803533507227,,0,0,0,0,1348,0,0,0,0,0,0,0,0,0,0
3,2024-01-22 22:33:00,488.46,489.27,489.5,488.26,4354,4354,4354,分时图,13.453803533507227,,0,0,0,0,4354,0,0,0,0,0,0,0,0,0,0
4,2024-01-22 22:34:00,489.02,487.16,489.12,487.16,3226,3226,3226,分时图,13.453803533507227,,0,0,0,0,3226,0,0,0,0,0,0,0,0,0,0
5,2024-01-22 22:35:00,487.15,487.09,488.24,487.0,6837,6837,6837,分时图,13.453803533507227,,0,0,0,0,6837,0,0,0,0,0,0,0,0,0,0
6,2024-01-22 22:36:00,487.04,485.73,487.04,485.73,1456,1456,1456,分时图,13.453803533507227,,0,0,0,0,1456,0,0,0,0,0,0,0,0,0,0
7,2024-01-22 22:37:00,486.29,486.0,487.21,485.7,2839,2839,2839,分时图,5.879332892167497,,0,0,0,0,2839,0,0,0,0,0,0,0,0,0,0
8,2024-01-22 22:38:00,486.16,485.03,486.32,484.77,10426,10426,10426,分时图,5.879332892167497,,0,0,0,0,10426,0,0,0,0,0,0,0,0,0,0
9,2024-01-22 22:39:00,485.22,485.29,486.02,484.9,4072,4072,4072,分时图,5.879332892167497,,0,0,0,0,4072,0,0,0,0,0,0,0,0,0,0
10,2024-01-22 22:40:00,485.26,485.02,485.35,484.9,12350,12350,12350,分时图,5.879332892167497,,0,0,0,0,12350,0,0,0,0,0,0,0,0,0,0
11,2024-01-22 22:41:00,485.07,484.59,485.99,484.56,3638,3638,3638,分时图,5.879332892167497,,0,0,0,0,3638,0,0,0,0,0,0,0,0,0,0
12,2024-01-22 22:42:00,484.69,484.64,485.37,484.6,1666,1666,1666,分时图,-0.8078716295540289,,1,0,0,0,1666,0,0,0,0,0,0,0,0,0,0
13,2024-01-22 22:43:00,484.67,484.25,484.77,483.85,3411,3411,3411,分时图,-0.8078716295540289,,1,0,0,0,3411,0,0,0,0,0,0,0,0,0,0
14,2024-01-22 22:44:00,484.09,483.59,484.09,483.58,2345,2345,2345,分时图,-0.8078716295540289,,1,0,0,0,2345,0,0,0,0,0,0,0,0,0,0
15,2024-01-22 22:45:00,483.52,482.53,483.54,482.53,4675,4675,4675,分时图,-0.8078716295540289,,1,0,0,0,4675,0,0,0,0,0,0,0,0,0,0
