,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2024-01-22 22:30:00,600.47,598.0,601.66,597.5,746479,746479,746479,分时图,73.21853241185178,95.4838949563391,0,0,0,0,746479,0,0,0,0,0,0,0,0,0,0
1,2024-01-22 22:31:00,598.0,599.75,599.75,597.07,42663,42663,42663,分时图,73.21853241185178,95.4838949563391,0,0,0,0,42663,0,0,0,0,0,0,0,0,0,0
2,2024-01-22 22:32:00,599.87,600.33,602.3,599.73,78854,78854,78854,分时图,73.21853241185178,95.4838949563391,0,0,0,0,78854,0,0,0,0,0,0,0,0,0,0
3,2024-01-22 22:33:00,600.28,599.23,600.62,598.22,28109,28109,28109,分时图,73.21853241185178,95.4838949563391,0,0,0,0,28109,0,0,0,0,0,0,0,0,0,0
4,2024-01-22 22:34:00,599.5,602.68,602.8,599.3,42317,42317,42317,分时图,73.21853241185178,95.4838949563391,0,0,0,0,42317,0,0,0,0,0,0,0,0,0,0
5,2024-01-22 22:35:00,602.88,602.76,603.3,601.7,42159,42159,42159,分时图,66.77981340845571,95.4838949563391,0,0,0,0,42159,0,0,0,0,0,0,0,0,0,0
6,2024-01-22 22:36:00,602.76,598.18,602.78,598.18,57244,57244,57244,分时图,66.77981340845571,95.4838949563391,0,0,0,0,57244,0,1,0,0,0,0,0,0,0,0
7,2024-01-22 22:37:00,598.06,598.92,599.7,597.54,42723,42723,42723,分时图,66.77981340845571,95.4838949563391,0,0,0,0,42723,0,0,0,0,0,0,0,0,0,0
8,2024-01-22 22:38:00,598.9,600.29,600.59,598.87,15649,15649,15649,分时图,66.77981340845571,95.4838949563391,0,0,0,0,15649,0,0,0,0,0,0,0,0,0,0
9,2024-01-22 22:39:00,600.38,599.55,600.94,599.0,26395,26395,26395,分时图,66.77981340845571,95.4838949563391,0,0,0,0,26395,0,0,0,0,0,0,0,0,0,0
10,2024-01-22 22:40:00,599.33,598.33,599.35,597.75,60004,60004,60004,分时图,56.5563542245082,95.4838949563391,0,0,0,0,60004,0,0,0,0,0,0,0,0,0,0
11,2024-01-22 22:41:00,598.2,598.08,598.46,596.95,57052,57052,57052,分时图,56.5563542245082,95.4838949563391,0,0,0,0,57052,0,0,0,0,0,0,0,0,0,0
12,2024-01-22 22:42:00,598.26,597.22,599.55,597.22,31544,31544,31544,分时图,56.5563542245082,95.4838949563391,0,0,0,0,31544,0,0,0,0,0,0,0,0,0,0
13,2024-01-22 22:43:00,597.29,597.48,597.84,595.81,46769,46769,46769,分时图,56.5563542245082,95.4838949563391,0,0,0,0,46769,0,0,0,0,0,0,0,0,0,0
14,2024-01-22 22:44:00,597.46,597.03,597.46,596.0,16755,16755,16755,分时图,56.5563542245082,95.4838949563391,0,0,0,0,16755,0,0,0,0,0,0,0,0,0,0
15,2024-01-22 22:45:00,597.09,599.59,599.6,596.68,21949,21949,21949,分时图,55.94276329524328,95.4838949563391,0,0,0,0,21949,0,0,0,0,0,0,0,0,0,0
16,2024-01-22 22:46:00,599.59,599.59,600.47,599.11,30219,30219,30219,分时图,55.94276329524328,95.4838949563391,0,0,0,0,30219,0,0,0,0,0,0,0,0,0,0
17,2024-01-22 22:47:00,599.69,599.47,599.81,599.0,5822,5822,5822,分时图,55.94276329524328,95.4838949563391,0,0,0,0,5822,0,0,0,0,0,0,0,0,0,0
18,2024-01-22 22:48:00,599.46,601.09,601.09,599.46,27082,27082,27082,分时图,55.94276329524328,95.4838949563391,0,0,0,0,27082,0,0,0,0,0,0,0,0,0,0
19,2024-01-22 22:49:00,600.99,600.35,601.29,599.71,22205,22205,22205,分时图,55.94276329524328,95.4838949563391,0,0,0,0,22205,0,0,0,0,0,0,0,0,0,0
20,2024-01-22 22:50:00,600.17,600.6,601.25,599.9,15247,15247,15247,分时图,53.87257351635026,95.4838949563391,0,0,0,0,15247,0,0,0,0,0,0,0,0,0,0
21,2024-01-22 22:51:00,600.58,601.08,601.08,599.89,14096,14096,14096,分时图,53.87257351635026,95.4838949563391,0,0,0,0,14096,0,0,0,0,0,0,0,0,0,0
22,2024-01-22 22:52:00,601.14,600.69,601.14,600.6,13811,13811,13811,分时图,53.87257351635026,95.4838949563391,0,0,0,0,13811,0,0,0,0,0,0,0,0,0,0
23,2024-01-22 22:53:00,600.72,601.67,602.25,600.6,16849,16849,16849,分时图,53.87257351635026,95.4838949563391,0,0,0,0,16849,0,0,0,0,0,0,0,0,0,0
24,2024-01-22 22:54:00,601.93,599.74,601.98,598.71,43022,43022,43022,分时图,53.87257351635026,95.4838949563391,0,0,0,0,43022,0,0,0,0,0,0,0,0,0,0
25,2024-01-22 22:55:00,599.8,599.69,599.8,598.22,13418,13418,13418,分时图,52.420191389874276,95.4838949563391,0,0,0,0,13418,0,0,0,0,0,0,0,0,0,0
26,2024-01-22 22:56:00,599.68,599.6,599.8,598.95,20190,20190,20190,分时图,52.420191389874276,95.4838949563391,0,0,0,0,20190,0,0,0,0,0,0,0,0,0,0
27,2024-01-22 22:57:00,599.7,599.0,599.7,598.42,10068,10068,10068,分时图,52.420191389874276,95.4838949563391,0,0,0,0,10068,0,0,0,0,0,0,0,0,0,0
28,2024-01-22 22:58:00,599.08,598.67,599.08,598.19,7964,7964,7964,分时图,52.420191389874276,95.4838949563391,0,0,0,0,7964,0,0,0,0,0,0,0,0,0,0
29,2024-01-22 22:59:00,598.67,599.88,599.88,598.4,22844,22844,22844,分时图,52.420191389874276,95.4838949563391,0,0,0,0,22844,0,0,0,0,0,0,0,0,0,0
30,2024-01-22 23:00:00,599.68,598.4,599.99,597.85,21207,21207,21207,分时图,41.24484903408339,90.01044244601053,0,0,0,0,21207,0,0,0,0,0,0,0,0,0,0
31,2024-01-22 23:01:00,598.55,598.75,598.75,598.07,6369,6369,6369,分时图,41.24484903408339,90.01044244601053,0,0,0,0,6369,0,0,0,0,0,0,0,0,0,0
32,2024-01-22 23:02:00,598.74,597.48,598.81,597.16,16084,16084,16084,分时图,41.24484903408339,90.01044244601053,0,0,0,0,16084,0,0,0,0,0,0,0,0,0,0
33,2024-01-22 23:03:00,597.46,596.72,597.46,596.61,20283,20283,20283,分时图,41.24484903408339,90.01044244601053,0,0,0,0,20283,0,0,0,0,0,0,0,0,0,0
34,2024-01-22 23:04:00,596.82,595.3,596.82,595.1,49050,49050,49050,分时图,41.24484903408339,90.01044244601053,0,0,0,0,49050,0,0,0,0,0,0,0,0,0,0
35,2024-01-22 23:05:00,595.3,595.5,595.86,594.03,63460,63460,63460,分时图,38.540472891340215,90.01044244601053,0,0,0,0,63460,0,0,0,0,0,0,0,0,0,0
36,2024-01-22 23:06:00,595.5,596.3,596.65,595.5,16213,16213,16213,分时图,38.540472891340215,90.01044244601053,0,0,0,0,16213,0,0,0,0,0,0,0,0,0,0
37,2024-01-22 23:07:00,596.5,595.87,597.13,595.87,14989,14989,14989,分时图,38.540472891340215,90.01044244601053,0,0,0,0,14989,0,0,0,0,0,0,0,0,0,0
38,2024-01-22 23:08:00,596.02,595.78,596.02,594.99,11949,11949,11949,分时图,38.540472891340215,90.01044244601053,0,0,0,0,11949,0,0,0,0,0,0,0,0,0,0
39,2024-01-22 23:09:00,595.79,597.75,597.8,595.65,9013,9013,9013,分时图,38.540472891340215,90.01044244601053,0,0,0,0,9013,0,0,0,0,0,0,0,0,0,0
40,2024-01-22 23:10:00,597.78,596.81,598.6,596.61,10819,10819,10819,分时图,37.73792930511195,90.01044244601053,0,0,0,0,10819,0,0,0,0,0,0,0,0,0,0
41,2024-01-22 23:11:00,596.54,597.0,597.41,596.12,7678,7678,7678,分时图,37.73792930511195,90.01044244601053,0,0,0,0,7678,0,0,0,0,0,0,0,0,0,0
42,2024-01-22 23:12:00,597.02,598.01,598.5,596.97,8722,8722,8722,分时图,37.73792930511195,90.01044244601053,0,0,0,0,8722,0,0,0,0,0,0,0,0,0,0
43,2024-01-22 23:13:00,598.02,598.5,598.98,598.02,11003,11003,11003,分时图,37.73792930511195,90.01044244601053,0,0,0,0,11003,0,0,0,0,0,0,0,0,0,0
44,2024-01-22 23:14:00,598.53,598.5,598.85,598.12,4897,4897,4897,分时图,37.73792930511195,90.01044244601053,0,0,0,0,4897,0,0,0,0,0,0,0,0,0,0
45,2024-01-22 23:15:00,598.39,597.98,598.61,597.98,15693,15693,15693,分时图,34.67332995363253,90.01044244601053,0,0,0,0,15693,0,0,0,0,0,0,0,0,0,0
46,2024-01-22 23:16:00,598.21,597.82,598.48,597.7,8554,8554,8554,分时图,34.67332995363253,90.01044244601053,0,0,0,0,8554,0,0,0,0,0,0,0,0,0,0
47,2024-01-22 23:17:00,597.88,598.15,598.2,597.33,4059,4059,4059,分时图,34.67332995363253,90.01044244601053,0,0,0,0,4059,0,0,0,0,0,0,0,0,0,0
48,2024-01-22 23:18:00,598.01,597.55,598.62,597.55,4115,4115,4115,分时图,34.67332995363253,90.01044244601053,0,0,0,0,4115,0,0,0,0,0,0,0,0,0,0
49,2024-01-22 23:19:00,597.59,597.33,597.94,597.1,21799,21799,21799,分时图,34.67332995363253,90.01044244601053,0,0,0,0,21799,0,0,0,0,0,0,0,0,0,0
50,2024-01-22 23:20:00,597.41,596.64,597.86,596.05,22158,22158,22158,分时图,25.61684973195682,90.01044244601053,0,0,0,0,22158,0,0,0,0,0,0,0,0,0,0
51,2024-01-22 23:21:00,596.61,596.15,597.0,596.15,6929,6929,6929,分时图,25.61684973195682,90.01044244601053,0,0,0,0,6929,0,0,0,0,0,0,0,0,0,0
52,2024-01-22 23:22:00,596.07,595.05,596.17,595.0,35768,35768,35768,分时图,25.61684973195682,90.01044244601053,0,0,0,0,35768,0,0,0,0,0,0,0,0,0,0
53,2024-01-22 23:23:00,595.19,594.25,595.24,594.25,15818,15818,15818,分时图,25.61684973195682,90.01044244601053,0,0,0,0,15818,0,0,0,0,0,0,0,0,0,0
54,2024-01-22 23:24:00,594.31,594.23,594.61,594.04,18583,18583,18583,分时图,25.61684973195682,90.01044244601053,0,0,0,0,18583,0,0,0,0,0,0,0,0,0,0
55,2024-01-22 23:25:00,594.7,594.79,595.2,594.7,10870,10870,10870,分时图,18.518230595071145,90.01044244601053,0,0,0,0,10870,0,0,0,0,0,0,0,0,0,0
56,2024-01-22 23:26:00,594.78,593.33,594.84,593.04,27867,27867,27867,分时图,18.518230595071145,90.01044244601053,0,0,0,0,27867,0,0,0,0,0,0,0,0,0,0
57,2024-01-22 23:27:00,593.63,592.27,593.74,592.21,15288,15288,15288,分时图,18.518230595071145,90.01044244601053,0,0,0,0,15288,0,0,0,0,0,0,0,0,0,0
58,2024-01-22 23:28:00,592.21,591.86,593.0,591.75,76673,76673,76673,分时图,18.518230595071145,90.01044244601053,0,0,0,0,76673,0,0,0,0,0,0,0,0,0,0
59,2024-01-22 23:29:00,591.76,592.54,592.86,591.75,9784,9784,9784,分时图,18.518230595071145,90.01044244601053,0,0,0,0,9784,0,0,0,0,0,0,0,0,0,0
60,2024-01-22 23:30:00,592.6,592.0,592.63,591.3,34506,34506,34506,分时图,13.578700058681989,86.11413933176041,0,0,0,0,34506,0,0,0,0,0,0,0,0,0,0
61,2024-01-22 23:31:00,591.64,591.38,592.0,591.12,19397,19397,19397,分时图,13.578700058681989,86.11413933176041,0,0,0,0,19397,0,0,0,0,0,0,0,0,0,0
62,2024-01-22 23:32:00,591.37,592.18,592.18,591.04,36163,36163,36163,分时图,13.578700058681989,86.11413933176041,0,0,0,0,36163,0,0,0,0,0,0,0,0,0,0
63,2024-01-22 23:33:00,592.21,593.22,593.5,592.08,15015,15015,15015,分时图,13.578700058681989,86.11413933176041,0,0,0,0,15015,0,0,0,0,0,0,0,0,0,0
64,2024-01-22 23:34:00,593.11,592.71,593.18,592.08,45789,45789,45789,分时图,13.578700058681989,86.11413933176041,0,0,0,0,45789,0,0,0,0,0,0,0,0,0,0
65,2024-01-22 23:35:00,592.68,593.32,593.6,592.55,12373,12373,12373,分时图,10.943945967530482,86.11413933176041,0,0,0,0,12373,0,0,0,0,0,0,0,0,0,0
66,2024-01-22 23:36:00,593.73,593.22,593.85,592.98,12614,12614,12614,分时图,10.943945967530482,86.11413933176041,0,0,0,0,12614,0,0,0,0,0,0,0,0,0,0
67,2024-01-22 23:37:00,593.16,593.0,593.57,592.5,48553,48553,48553,分时图,10.943945967530482,86.11413933176041,0,0,0,0,48553,0,0,0,0,0,0,0,0,0,0
68,2024-01-22 23:38:00,592.92,593.8,593.97,592.91,7575,7575,7575,分时图,10.943945967530482,86.11413933176041,0,0,0,0,7575,0,0,0,0,0,0,0,0,0,0
69,2024-01-22 23:39:00,593.8,593.78,594.38,593.6,15695,15695,15695,分时图,10.943945967530482,86.11413933176041,0,0,0,0,15695,0,0,0,0,0,0,0,0,0,0
70,2024-01-22 23:40:00,593.75,593.8,594.14,593.58,13118,13118,13118,分时图,7.8577101624062635,86.11413933176041,0,0,0,0,13118,0,0,0,0,0,0,0,0,0,0
71,2024-01-22 23:41:00,593.7,593.81,594.46,593.43,4877,4877,4877,分时图,7.8577101624062635,86.11413933176041,0,0,0,0,4877,0,0,0,0,0,0,0,0,0,0
72,2024-01-22 23:42:00,593.97,593.57,594.23,593.41,7552,7552,7552,分时图,7.8577101624062635,86.11413933176041,0,0,0,0,7552,0,0,0,0,0,0,0,0,0,0
73,2024-01-22 23:43:00,593.5,593.62,593.62,593.07,9126,9126,9126,分时图,7.8577101624062635,86.11413933176041,0,0,0,0,9126,0,0,0,0,0,0,0,0,0,0
74,2024-01-22 23:44:00,593.84,593.24,594.1,593.13,12716,12716,12716,分时图,7.8577101624062635,86.11413933176041,0,0,0,0,12716,0,0,0,0,0,0,0,0,0,0
75,2024-01-22 23:45:00,593.2,592.21,593.62,592.14,6501,6501,6501,分时图,2.8919171983039718,86.11413933176041,0,0,0,0,6501,0,0,0,0,0,0,0,0,0,0
76,2024-01-22 23:46:00,592.07,591.37,592.36,591.2,15140,15140,15140,分时图,2.8919171983039718,86.11413933176041,0,0,0,0,15140,0,0,0,0,0,0,0,0,0,0
77,2024-01-22 23:47:00,591.29,591.5,591.5,590.85,42115,42115,42115,分时图,2.8919171983039718,86.11413933176041,0,0,0,0,42115,0,0,0,0,0,0,0,0,0,0
78,2024-01-22 23:48:00,591.61,591.11,591.61,590.7,25847,25847,25847,分时图,2.8919171983039718,86.11413933176041,0,0,0,0,25847,0,0,0,0,0,0,0,0,0,0
79,2024-01-22 23:49:00,591.0,591.43,591.51,590.93,7878,7878,7878,分时图,2.8919171983039718,86.11413933176041,0,0,0,0,7878,0,0,0,0,0,0,0,0,0,0
80,2024-01-22 23:50:00,591.45,591.99,592.31,591.45,7849,7849,7849,分时图,5.207275060439599,86.11413933176041,0,0,0,0,7849,0,0,0,0,0,0,0,0,0,0
81,2024-01-22 23:51:00,592.19,593.11,593.2,592.19,12883,12883,12883,分时图,5.207275060439599,86.11413933176041,0,0,0,0,12883,0,0,0,0,0,0,0,0,0,0
82,2024-01-22 23:52:00,592.81,593.34,593.43,592.81,22814,22814,22814,分时图,5.207275060439599,86.11413933176041,0,0,0,0,22814,0,0,0,0,0,0,0,0,0,0
83,2024-01-22 23:53:00,593.41,594.43,594.43,593.41,10660,10660,10660,分时图,5.207275060439599,86.11413933176041,0,0,0,0,10660,0,0,0,0,0,0,0,0,0,0
84,2024-01-22 23:54:00,594.45,595.8,595.93,594.44,20094,20094,20094,分时图,5.207275060439599,86.11413933176041,0,0,0,0,20094,0,0,0,0,0,0,0,0,0,0
85,2024-01-22 23:55:00,595.76,594.6,595.82,594.6,19318,19318,19318,分时图,4.847979155878335,86.11413933176041,0,0,0,0,19318,0,0,0,0,0,0,0,0,0,0
86,2024-01-22 23:56:00,594.66,595.18,595.18,594.01,9042,9042,9042,分时图,4.847979155878335,86.11413933176041,0,0,0,0,9042,0,0,0,0,0,0,0,0,0,0
87,2024-01-22 23:57:00,595.0,594.72,595.14,594.72,7474,7474,7474,分时图,4.847979155878335,86.11413933176041,0,0,0,0,7474,0,0,0,0,0,0,0,0,0,0
88,2024-01-22 23:58:00,594.87,594.07,594.99,594.03,6167,6167,6167,分时图,4.847979155878335,86.11413933176041,0,0,0,0,6167,0,0,0,0,0,0,0,0,0,0
89,2024-01-22 23:59:00,594.21,594.13,595.22,594.01,7292,7292,7292,分时图,4.847979155878335,86.11413933176041,0,0,0,0,7292,0,0,0,0,0,0,0,0,0,0
90,2024-01-23 00:00:00,594.02,594.0,594.09,593.6,4722,4722,4722,分时图,6.3787016591345065,85.87332273668136,0,0,0,0,4722,0,0,0,0,0,0,0,0,0,0
91,2024-01-23 00:01:00,593.91,595.0,595.19,593.86,4802,4802,4802,分时图,6.3787016591345065,85.87332273668136,0,0,0,0,4802,0,0,0,0,0,0,0,0,0,0
92,2024-01-23 00:02:00,595.07,595.7,595.7,594.5,8654,8654,8654,分时图,6.3787016591345065,85.87332273668136,0,0,0,0,8654,0,0,0,0,0,0,0,0,0,0
93,2024-01-23 00:03:00,595.71,595.29,596.32,595.17,6992,6992,6992,分时图,6.3787016591345065,85.87332273668136,0,0,0,0,6992,0,0,0,0,0,0,0,0,0,0
94,2024-01-23 00:04:00,595.43,595.28,595.46,594.94,4679,4679,4679,分时图,6.3787016591345065,85.87332273668136,0,0,0,0,4679,0,0,0,0,0,0,0,0,0,0
95,2024-01-23 00:05:00,595.34,595.65,595.89,595.28,2848,2848,2848,分时图,10.150800654949776,85.87332273668136,0,0,0,0,2848,0,0,0,0,0,0,0,0,0,0
