,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2024-01-22 22:30:00,138.83,139.59,139.8,138.56,133974,133974,133974,分时图,34.43960375302957,,0,0,0,0,133974,0,0,0,0,0,0,0,0,0,0
1,2024-01-22 22:31:00,139.5,139.8,140.6,139.21,19112,19112,19112,分时图,34.43960375302957,,0,0,0,0,19112,0,0,0,0,0,0,0,0,0,0
2,2024-01-22 22:32:00,139.8,140.87,141.13,139.8,11308,11308,11308,分时图,34.43960375302957,,0,0,0,0,11308,0,0,0,0,0,0,0,0,0,0
3,2024-01-22 22:33:00,140.86,141.52,142.0,140.8,10782,10782,10782,分时图,34.43960375302957,,0,0,0,0,10782,0,0,0,0,0,0,0,0,0,0
4,2024-01-22 22:34:00,141.79,142.28,142.28,141.79,4570,4570,4570,分时图,34.43960375302957,,0,0,0,0,4570,0,0,0,0,0,0,0,0,0,0
5,2024-01-22 22:35:00,142.38,142.32,142.5,142.03,11236,11236,11236,分时图,40.59694133990487,,0,0,0,0,11236,0,0,0,0,0,0,0,0,0,0
6,2024-01-22 22:36:00,142.21,142.03,142.59,142.03,8337,8337,8337,分时图,40.59694133990487,,0,0,0,0,8337,0,1,0,0,0,0,0,0,1,0
7,2024-01-22 22:37:00,142.14,141.81,142.17,141.64,8886,8886,8886,分时图,40.59694133990487,,0,0,0,0,8886,0,0,0,0,0,0,0,0,0,0
8,2024-01-22 22:38:00,141.77,141.6,141.77,141.54,2694,2694,2694,分时图,40.59694133990487,,0,0,0,0,2694,0,0,0,0,0,0,0,0,0,1
9,2024-01-22 22:39:00,141.49,141.19,141.94,141.19,6143,6143,6143,分时图,40.59694133990487,,0,0,0,0,6143,0,0,0,0,0,0,0,0,0,0
10,2024-01-22 22:40:00,141.08,141.12,141.53,141.04,4817,4817,4817,分时图,42.70824436958435,,0,0,0,0,4817,0,0,0,0,0,0,0,0,0,0
11,2024-01-22 22:41:00,141.04,140.78,141.04,140.78,3738,3738,3738,分时图,42.70824436958435,,0,0,0,0,3738,0,0,0,0,0,0,0,0,0,0
12,2024-01-22 22:42:00,140.77,140.5,140.85,140.5,8167,8167,8167,分时图,42.70824436958435,,0,0,0,0,8167,0,0,0,0,0,0,0,0,0,0
13,2024-01-22 22:43:00,140.49,140.67,140.74,140.4,21740,21740,21740,分时图,42.70824436958435,,0,0,0,0,21740,0,0,0,0,0,0,0,0,0,0
14,2024-01-22 22:44:00,140.69,140.47,140.71,140.26,4542,4542,4542,分时图,42.70824436958435,,0,0,0,0,4542,0,0,0,0,0,0,0,0,0,0
15,2024-01-22 22:45:00,140.32,140.16,140.4,140.11,7436,7436,7436,分时图,45.366031102798786,11.342659168489647,0,0,0,0,7436,0,0,0,0,0,0,0,0,0,0
16,2024-01-22 22:46:00,140.2,140.38,140.4,140.13,5167,5167,5167,分时图,45.366031102798786,11.342659168489647,0,0,0,0,5167,0,0,0,0,0,0,0,0,0,0
17,2024-01-22 22:47:00,140.3,140.28,140.3,140.13,2875,2875,2875,分时图,45.366031102798786,11.342659168489647,0,0,0,0,2875,0,0,0,0,0,0,0,0,0,0
18,2024-01-22 22:48:00,140.28,140.62,140.62,140.28,4610,4610,4610,分时图,45.366031102798786,11.342659168489647,0,0,0,0,4610,0,0,0,0,0,0,0,0,0,0
