,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2023-12-06 22:31:00,242.92,243.75,243.93,240.41,3416296,3416296,3416296,分时图,,,0,0,0,0,3416296,0,0,0,0,0,0,0,0,0,0
1,2023-12-06 22:32:00,243.71,243.06,243.71,242.37,989250,989250,989250,分时图,25.379196197346573,70.92870321616321,0,0,0,0,989250,0,0,0,0,0,0,0,0,0,0
2,2023-12-06 22:33:00,243.18,244.18,244.18,243.18,963429,963429,963429,分时图,25.379196197346573,70.92870321616321,0,0,0,0,963429,0,0,0,0,0,0,0,0,0,0
3,2023-12-06 22:34:00,244.23,244.52,244.64,244.23,1001917,1001917,1001917,分时图,25.379196197346573,70.92870321616321,0,0,0,0,1001917,0,0,0,0,0,0,0,0,0,0
4,2023-12-06 22:35:00,244.44,244.88,244.99,244.44,960175,960175,960175,分时图,25.379196197346573,70.92870321616321,0,0,0,0,960175,0,0,0,0,0,0,0,0,0,0
5,2023-12-06 22:36:00,243.77,242.69,243.79,242.69,1054252,1054252,1054252,分时图,25.379196197346573,70.92870321616321,0,0,0,0,1054252,0,0,0,0,0,0,0,0,0,0
6,2023-12-06 22:37:00,242.84,243.26,243.35,242.84,756029,756029,756029,分时图,36.802603947198506,70.92870321616321,0,0,0,0,756029,0,0,0,0,0,0,0,0,0,0
7,2023-12-06 22:38:00,243.42,243.5,244.03,243.42,585603,585603,585603,分时图,36.802603947198506,70.92870321616321,0,0,0,0,585603,0,0,0,0,0,0,0,0,0,0
8,2023-12-06 22:39:00,243.5,242.87,243.81,242.87,644365,644365,644365,分时图,36.802603947198506,70.92870321616321,0,0,0,0,644365,0,0,0,0,0,0,0,0,0,0
9,2023-12-06 22:40:00,242.62,243.11,243.57,242.51,837496,837496,837496,分时图,36.802603947198506,70.92870321616321,0,0,0,0,837496,0,0,0,0,0,0,0,0,0,0
10,2023-12-06 22:41:00,243.01,244.24,244.24,243.01,724076,724076,724076,分时图,36.802603947198506,70.92870321616321,0,0,0,0,724076,0,0,0,0,0,0,0,0,0,0
11,2023-12-06 22:42:00,244.75,244.96,244.98,244.54,1285224,1285224,1285224,分时图,48.309756613389666,70.92870321616321,0,0,0,0,1285224,0,0,0,0,0,0,0,0,0,0
