,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41,buy_signal,sell_signal
0,2023-01-03 22:32:00,116.92,116.46,116.92,116.46,1725292,1725292,1725292,分时图,,,0,0,0,0,1725292,0,0,0,0,0,0,0,0,0,0,0,0
1,2023-01-03 22:33:00,115.93,115.76,116.22,115.46,1801359,1801359,1801359,分时图,,,0,0,0,0,1801359,0,0,0,0,0,0,0,0,0,0,0,0
2,2023-01-03 22:34:00,116.1,116.31,116.31,115.64,1174102,1174102,1174102,分时图,,,0,0,0,0,1174102,0,0,0,0,0,0,0,0,0,0,0,0
3,2023-01-03 22:35:00,116.52,115.7,116.52,115.69,1208402,1208402,1208402,分时图,,,0,0,0,0,1208402,0,0,0,0,0,0,0,0,0,0,0,0
4,2023-01-03 22:36:00,115.36,115.13,115.36,115.13,1814254,1814254,1814254,分时图,,,0,0,0,0,1814254,0,0,0,0,0,0,0,0,0,0,0,0
5,2023-01-03 22:37:00,114.8,114.21,114.8,114.21,1298160,1298160,1298160,分时图,,,0,0,0,0,1298160,0,0,0,0,0,0,0,0,0,0,0,0
6,2023-01-03 22:38:00,114.23,114.39,114.49,114.23,1585720,1585720,1585720,分时图,,,0,0,0,0,1585720,1,0,0,0,0,0,0,0,0,0,1,0
7,2023-01-03 22:39:00,114.51,113.97,114.51,113.9,1261208,1261208,1261208,分时图,,,0,0,0,0,1261208,0,0,0,0,0,0,0,0,0,0,0,0
8,2023-01-03 22:40:00,114.33,114.48,114.74,114.33,1108724,1108724,1108724,分时图,,,0,0,0,0,1108724,0,0,0,0,0,0,0,0,0,0,0,0
9,2023-01-03 22:41:00,114.82,114.95,114.95,114.65,1047134,1047134,1047134,分时图,,,0,0,0,0,1047134,0,0,0,0,0,0,0,0,0,0,0,0
10,2023-01-03 22:42:00,115.25,114.95,115.25,114.88,1060788,1060788,1060788,分时图,,,0,0,0,0,1060788,0,0,0,0,0,0,0,0,0,0,0,0
11,2023-01-03 22:43:00,115.02,114.86,115.02,114.77,689376,689376,689376,分时图,,,0,0,0,0,689376,0,0,0,0,0,0,0,0,0,0,0,0
12,2023-01-03 22:44:00,115.08,115.92,115.92,115.08,1124170,1124170,1124170,分时图,,,0,0,0,0,1124170,0,0,0,0,0,0,0,0,0,0,0,0
13,2023-01-03 22:45:00,115.88,115.2,115.88,115.2,1363500,1363500,1363500,分时图,,,0,0,0,0,1363500,0,0,0,0,0,0,0,0,0,0,0,0
14,2023-01-03 22:46:00,115.2,114.8,115.2,114.38,1208008,1208008,1208008,分时图,,,0,0,0,0,1208008,0,0,0,0,0,0,0,0,0,0,0,0
15,2023-01-03 22:47:00,114.67,114.69,114.71,114.27,833312,833312,833312,分时图,,,0,0,0,0,833312,0,0,0,0,0,0,0,0,0,0,0,0
16,2023-01-03 22:48:00,114.64,114.3,114.72,114.3,608164,608164,608164,分时图,,,0,0,0,0,608164,0,0,0,0,0,0,0,0,0,0,0,0
17,2023-01-03 22:49:00,114.33,113.99,114.33,113.99,1032000,1032000,1032000,分时图,,,0,0,0,0,1032000,0,0,0,0,0,0,0,0,0,0,0,0
18,2023-01-03 22:50:00,114.01,113.64,114.15,113.64,1122820,1122820,1122820,分时图,,,0,0,0,0,1122820,0,0,0,0,0,0,0,0,0,0,0,0
19,2023-01-03 22:51:00,113.88,114.18,114.18,113.83,884200,884200,884200,分时图,,,0,0,0,0,884200,0,0,0,0,0,0,0,0,0,0,0,0
