,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41
0,2024-01-22 22:30:00,114.84,114.98,115.06,114.33,58297,58297,58297,分时图,,,0,0,0,0,58297,0,0,0,0,0,0,0,0,0,0
1,2024-01-22 22:31:00,114.95,114.21,114.99,114.16,14283,14283,14283,分时图,,,0,0,0,0,14283,0,0,0,0,0,0,0,0,0,0
2,2024-01-22 22:32:00,114.16,114.5,114.5,113.97,11528,11528,11528,分时图,,,0,0,0,0,11528,1,0,0,0,0,0,0,0,0,0
3,2024-01-22 22:33:00,114.5,114.5,114.52,114.25,19449,19449,19449,分时图,84.5282488410128,,0,0,0,0,19449,0,0,0,0,0,0,0,0,0,0
4,2024-01-22 22:34:00,114.5,114.14,114.51,114.06,10830,10830,10830,分时图,84.5282488410128,,0,0,0,0,10830,0,0,0,0,0,0,0,0,0,0
5,2024-01-22 22:35:00,114.17,114.1,114.25,114.0,26893,26893,26893,分时图,84.5282488410128,,0,0,0,0,26893,0,0,0,0,0,0,0,0,0,0
6,2024-01-22 22:36:00,114.08,113.84,114.1,113.84,8016,8016,8016,分时图,84.5282488410128,,0,0,0,0,8016,0,0,0,0,0,0,0,0,0,0
7,2024-01-22 22:37:00,113.8,114.06,114.52,113.74,21216,21216,21216,分时图,84.5282488410128,,0,0,0,0,21216,0,0,0,0,0,0,0,0,0,0
8,2024-01-22 22:38:00,114.04,113.74,114.29,113.71,28177,28177,28177,分时图,82.06348651061333,,0,0,0,0,28177,0,0,0,0,0,0,0,0,0,0
9,2024-01-22 22:39:00,113.73,114.42,114.44,113.69,6109,6109,6109,分时图,82.06348651061333,,0,0,0,0,6109,0,0,0,0,0,0,0,0,0,0
10,2024-01-22 22:40:00,114.42,114.29,114.46,114.26,6091,6091,6091,分时图,82.06348651061333,,0,0,0,0,6091,0,0,0,0,0,0,0,0,0,0
11,2024-01-22 22:41:00,114.27,114.29,114.43,114.12,8975,8975,8975,分时图,82.06348651061333,,0,0,0,0,8975,0,0,0,0,0,0,0,0,0,0
12,2024-01-22 22:42:00,114.29,114.14,114.36,114.14,11199,11199,11199,分时图,82.06348651061333,,0,0,0,0,11199,0,0,0,0,0,0,0,0,0,0
13,2024-01-22 22:43:00,114.16,113.93,114.21,113.82,6853,6853,6853,分时图,81.35452705448935,59.275893933891524,0,0,0,0,6853,0,0,0,0,0,0,0,0,0,0
14,2024-01-22 22:44:00,113.89,113.76,113.92,113.72,4932,4932,4932,分时图,81.35452705448935,59.275893933891524,0,0,0,0,4932,0,0,0,0,0,0,0,0,0,0
15,2024-01-22 22:45:00,113.78,113.79,113.79,113.65,5221,5221,5221,分时图,81.35452705448935,59.275893933891524,0,0,0,0,5221,0,0,0,0,0,0,0,0,0,0
16,2024-01-22 22:46:00,113.88,114.14,114.16,113.88,4641,4641,4641,分时图,81.35452705448935,59.275893933891524,0,0,0,0,4641,0,0,0,0,0,0,0,0,0,0
17,2024-01-22 22:47:00,114.11,114.3,114.33,114.11,6548,6548,6548,分时图,81.35452705448935,59.275893933891524,0,0,0,0,6548,0,0,0,0,0,0,0,0,0,0
18,2024-01-22 22:48:00,114.27,114.12,114.31,114.08,5499,5499,5499,分时图,78.78448572825158,59.275893933891524,0,0,0,0,5499,0,0,0,0,0,0,0,0,0,0
19,2024-01-22 22:49:00,114.11,113.99,114.18,113.93,6188,6188,6188,分时图,78.78448572825158,59.275893933891524,0,0,0,0,6188,0,0,0,0,0,0,0,0,0,0
20,2024-01-22 22:50:00,113.91,114.22,114.26,113.91,3595,3595,3595,分时图,78.78448572825158,59.275893933891524,0,0,0,0,3595,0,0,0,0,0,0,0,0,0,0
21,2024-01-22 22:51:00,114.2,114.25,114.26,114.14,6137,6137,6137,分时图,78.78448572825158,59.275893933891524,0,0,0,0,6137,0,0,0,0,0,0,0,0,0,0
22,2024-01-22 22:52:00,114.23,114.11,114.23,114.03,6132,6132,6132,分时图,78.78448572825158,59.275893933891524,0,0,0,0,6132,0,0,0,0,0,0,0,0,0,0
23,2024-01-22 22:53:00,114.11,114.25,114.32,114.05,9675,9675,9675,分时图,76.42346113096802,59.275893933891524,0,0,0,0,9675,0,0,0,0,0,0,0,0,0,0
24,2024-01-22 22:54:00,114.28,114.09,114.28,114.04,5910,5910,5910,分时图,76.42346113096802,59.275893933891524,0,0,0,0,5910,0,0,0,0,0,0,0,0,0,0
25,2024-01-22 22:55:00,114.15,114.14,114.15,114.0,6620,6620,6620,分时图,76.42346113096802,59.275893933891524,0,0,0,0,6620,0,0,0,0,0,0,0,0,0,0
26,2024-01-22 22:56:00,114.14,114.07,114.14,114.06,5500,5500,5500,分时图,76.42346113096802,59.275893933891524,0,0,0,0,5500,0,0,0,0,0,0,0,0,0,0
27,2024-01-22 22:57:00,114.07,114.11,114.11,114.05,9619,9619,9619,分时图,76.42346113096802,59.275893933891524,0,0,0,0,9619,0,0,0,0,0,0,0,0,0,0
28,2024-01-22 22:58:00,114.1,113.95,114.11,113.83,7863,7863,7863,分时图,73.47096118729357,59.275893933891524,0,0,0,0,7863,0,0,0,0,0,0,0,0,0,0
29,2024-01-22 22:59:00,113.95,114.09,114.09,113.79,8981,8981,8981,分时图,73.47096118729357,59.275893933891524,0,0,0,0,8981,0,0,0,0,0,0,0,0,0,0
30,2024-01-22 23:00:00,114.17,114.1,114.29,114.04,9840,9840,9840,分时图,73.47096118729357,59.275893933891524,0,0,0,0,9840,0,0,0,0,0,0,0,0,0,0
31,2024-01-22 23:01:00,114.12,114.17,114.23,114.0,6536,6536,6536,分时图,73.47096118729357,59.275893933891524,0,0,0,0,6536,0,0,0,0,0,0,0,0,0,0
32,2024-01-22 23:02:00,114.17,114.03,114.28,114.0,11969,11969,11969,分时图,73.47096118729357,59.275893933891524,0,0,0,0,11969,0,0,0,0,0,0,0,0,0,0
33,2024-01-22 23:03:00,113.92,113.77,113.96,113.71,11015,11015,11015,分时图,70.82975745281632,59.275893933891524,0,0,0,0,11015,0,0,0,0,0,0,0,0,0,0
34,2024-01-22 23:04:00,113.77,113.74,113.81,113.68,9726,9726,9726,分时图,70.82975745281632,59.275893933891524,0,0,0,0,9726,0,0,0,0,0,0,0,0,0,0
35,2024-01-22 23:05:00,113.75,113.96,114.01,113.69,6078,6078,6078,分时图,70.82975745281632,59.275893933891524,0,0,0,0,6078,0,0,0,0,0,0,0,0,0,0
36,2024-01-22 23:06:00,113.98,114.11,114.11,113.94,14178,14178,14178,分时图,70.82975745281632,59.275893933891524,0,0,0,0,14178,0,0,0,0,0,0,0,0,0,0
37,2024-01-22 23:07:00,114.14,114.14,114.36,114.12,12882,12882,12882,分时图,70.82975745281632,59.275893933891524,0,0,0,0,12882,0,0,0,0,0,0,0,0,0,0
38,2024-01-22 23:08:00,114.13,113.83,114.14,113.8,8602,8602,8602,分时图,65.80401788083384,59.275893933891524,0,0,0,0,8602,0,0,0,0,0,0,0,0,0,0
39,2024-01-22 23:09:00,113.85,113.82,113.92,113.8,5278,5278,5278,分时图,65.80401788083384,59.275893933891524,0,0,0,0,5278,0,0,0,0,0,0,0,0,0,0
40,2024-01-22 23:10:00,113.8,113.78,113.84,113.72,6433,6433,6433,分时图,65.80401788083384,59.275893933891524,0,0,0,0,6433,0,0,0,0,0,0,0,0,0,0
41,2024-01-22 23:11:00,113.65,113.83,113.87,113.62,5094,5094,5094,分时图,65.80401788083384,59.275893933891524,0,0,0,0,5094,0,0,0,0,0,0,0,0,0,0
42,2024-01-22 23:12:00,113.84,113.9,114.02,113.84,2908,2908,2908,分时图,65.80401788083384,59.275893933891524,0,0,0,0,2908,0,0,0,0,0,0,0,0,0,0
43,2024-01-22 23:13:00,113.96,113.98,114.1,113.96,3585,3585,3585,分时图,59.208498631357,56.669421493435095,0,0,0,0,3585,0,0,0,0,0,0,0,0,0,0
44,2024-01-22 23:14:00,113.97,113.92,113.98,113.87,7485,7485,7485,分时图,59.208498631357,56.669421493435095,0,0,0,0,7485,0,0,0,0,0,0,0,0,0,0
45,2024-01-22 23:15:00,113.91,113.84,113.91,113.72,2900,2900,2900,分时图,59.208498631357,56.669421493435095,0,0,0,0,2900,0,0,0,0,0,0,0,0,0,0
46,2024-01-22 23:16:00,113.84,113.74,113.85,113.73,4260,4260,4260,分时图,59.208498631357,56.669421493435095,0,0,0,0,4260,0,0,0,0,0,0,0,0,0,0
47,2024-01-22 23:17:00,113.75,113.71,113.8,113.65,4363,4363,4363,分时图,59.208498631357,56.669421493435095,0,0,0,0,4363,0,0,0,0,0,0,0,0,0,0
48,2024-01-22 23:18:00,113.68,113.56,113.68,113.55,6535,6535,6535,分时图,55.4856339324988,56.669421493435095,0,0,0,0,6535,0,0,0,0,0,0,0,0,0,0
49,2024-01-22 23:19:00,113.56,113.6,113.6,113.51,9909,9909,9909,分时图,55.4856339324988,56.669421493435095,0,0,0,0,9909,0,0,0,0,0,0,0,0,0,0
50,2024-01-22 23:20:00,113.63,113.71,113.72,113.63,3207,3207,3207,分时图,55.4856339324988,56.669421493435095,0,0,0,0,3207,0,0,0,0,0,0,0,0,0,0
51,2024-01-22 23:21:00,113.72,113.83,113.85,113.72,5433,5433,5433,分时图,55.4856339324988,56.669421493435095,0,0,0,0,5433,0,0,0,0,0,0,0,0,0,0
52,2024-01-22 23:22:00,113.8,113.91,113.92,113.75,11750,11750,11750,分时图,55.4856339324988,56.669421493435095,0,0,0,0,11750,0,0,0,0,0,0,0,0,0,0
53,2024-01-22 23:23:00,113.91,113.88,113.98,113.87,5091,5091,5091,分时图,46.95227471211609,56.669421493435095,0,0,0,0,5091,0,0,0,0,0,0,0,0,0,0
54,2024-01-22 23:24:00,113.85,113.88,113.96,113.83,3274,3274,3274,分时图,46.95227471211609,56.669421493435095,0,0,0,0,3274,0,0,0,0,0,0,0,0,0,0
55,2024-01-22 23:25:00,113.87,113.92,113.92,113.84,2555,2555,2555,分时图,46.95227471211609,56.669421493435095,0,0,0,0,2555,0,0,0,0,0,0,0,0,0,0
56,2024-01-22 23:26:00,113.9,113.9,113.95,113.9,3487,3487,3487,分时图,46.95227471211609,56.669421493435095,0,0,0,0,3487,0,0,0,0,0,0,0,0,0,0
57,2024-01-22 23:27:00,113.89,113.62,113.89,113.61,2647,2647,2647,分时图,46.95227471211609,56.669421493435095,0,0,0,0,2647,0,0,0,0,0,0,0,0,0,0
58,2024-01-22 23:28:00,113.61,113.55,113.69,113.55,4820,4820,4820,分时图,38.7285725973874,56.669421493435095,0,0,0,0,4820,0,0,0,0,0,0,0,0,0,0
59,2024-01-22 23:29:00,113.56,113.52,113.57,113.46,7873,7873,7873,分时图,38.7285725973874,56.669421493435095,0,0,0,0,7873,0,0,0,0,0,0,0,0,0,0
60,2024-01-22 23:30:00,113.49,113.29,113.5,113.29,6842,6842,6842,分时图,38.7285725973874,56.669421493435095,0,0,0,0,6842,0,0,0,0,0,0,0,0,0,0
61,2024-01-22 23:31:00,113.27,113.34,113.37,113.27,6430,6430,6430,分时图,38.7285725973874,56.669421493435095,0,0,0,0,6430,0,0,0,0,0,0,0,0,0,0
62,2024-01-22 23:32:00,113.29,113.33,113.33,113.26,4928,4928,4928,分时图,38.7285725973874,56.669421493435095,0,0,0,0,4928,0,0,0,0,0,0,0,0,0,0
63,2024-01-22 23:33:00,113.33,113.5,113.5,113.3,7134,7134,7134,分时图,33.711938440708835,56.669421493435095,0,0,0,0,7134,0,0,0,0,0,0,0,0,0,0
64,2024-01-22 23:34:00,113.46,113.36,113.53,113.32,3345,3345,3345,分时图,33.711938440708835,56.669421493435095,0,0,0,0,3345,0,0,0,0,0,0,0,0,0,0
65,2024-01-22 23:35:00,113.35,113.31,113.38,113.3,4056,4056,4056,分时图,33.711938440708835,56.669421493435095,0,0,0,0,4056,0,0,0,0,0,0,0,0,0,0
66,2024-01-22 23:36:00,113.31,113.26,113.36,113.26,20905,20905,20905,分时图,33.711938440708835,56.669421493435095,0,0,0,0,20905,0,0,0,0,0,0,0,0,0,0
67,2024-01-22 23:37:00,113.24,113.53,113.54,113.24,8249,8249,8249,分时图,33.711938440708835,56.669421493435095,0,0,0,0,8249,0,0,0,0,0,0,0,0,0,0
68,2024-01-22 23:38:00,113.52,113.56,113.59,113.49,2362,2362,2362,分时图,27.26776392463445,56.669421493435095,0,0,0,0,2362,0,0,0,0,0,0,0,0,0,0
69,2024-01-22 23:39:00,113.55,113.59,113.61,113.53,3705,3705,3705,分时图,27.26776392463445,56.669421493435095,0,0,0,0,3705,0,0,0,0,0,0,0,0,0,0
70,2024-01-22 23:40:00,113.56,113.47,113.6,113.45,17649,17649,17649,分时图,27.26776392463445,56.669421493435095,0,0,0,0,17649,0,0,0,0,0,0,0,0,0,0
71,2024-01-22 23:41:00,113.4,113.4,113.41,113.31,7317,7317,7317,分时图,27.26776392463445,56.669421493435095,0,0,0,0,7317,0,0,0,0,0,0,0,0,0,0
72,2024-01-22 23:42:00,113.41,113.34,113.41,113.33,2700,2700,2700,分时图,27.26776392463445,56.669421493435095,0,0,0,0,2700,0,0,0,0,0,0,0,0,0,0
73,2024-01-22 23:43:00,113.31,113.34,113.4,113.31,4671,4671,4671,分时图,22.418451925325712,54.95285553694069,0,0,0,0,4671,0,0,0,0,0,0,0,0,0,0
74,2024-01-22 23:44:00,113.34,113.31,113.4,113.29,4025,4025,4025,分时图,22.418451925325712,54.95285553694069,0,0,0,0,4025,0,0,0,0,0,0,0,0,0,0
75,2024-01-22 23:45:00,113.28,113.35,113.38,113.28,1003,1003,1003,分时图,22.418451925325712,54.95285553694069,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0
76,2024-01-22 23:46:00,113.33,113.27,113.33,113.24,5965,5965,5965,分时图,22.418451925325712,54.95285553694069,0,0,0,0,5965,0,0,0,0,0,0,0,0,0,0
77,2024-01-22 23:47:00,113.23,113.35,113.35,113.16,4986,4986,4986,分时图,22.418451925325712,54.95285553694069,0,0,0,0,4986,0,0,0,0,0,0,0,0,0,0
78,2024-01-22 23:48:00,113.35,113.33,113.39,113.26,4696,4696,4696,分时图,19.748325966961616,54.95285553694069,0,0,0,0,4696,0,0,0,0,0,0,0,0,0,0
79,2024-01-22 23:49:00,113.34,113.46,113.46,113.34,2554,2554,2554,分时图,19.748325966961616,54.95285553694069,0,0,0,0,2554,0,0,0,0,0,0,0,0,0,0
80,2024-01-22 23:50:00,113.49,113.5,113.51,113.47,3598,3598,3598,分时图,19.748325966961616,54.95285553694069,0,0,0,0,3598,0,0,0,0,0,0,0,0,0,0
81,2024-01-22 23:51:00,113.5,113.5,113.54,113.49,800,800,800,分时图,19.748325966961616,54.95285553694069,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0
82,2024-01-22 23:52:00,113.51,113.51,113.56,113.49,1307,1307,1307,分时图,19.748325966961616,54.95285553694069,0,0,0,0,1307,0,0,0,0,0,0,0,0,0,0
83,2024-01-22 23:53:00,113.54,113.54,113.57,113.54,2287,2287,2287,分时图,16.108848244781356,54.95285553694069,0,0,0,0,2287,0,0,0,0,0,0,0,0,0,0
84,2024-01-22 23:54:00,113.51,113.53,113.55,113.45,3957,3957,3957,分时图,16.108848244781356,54.95285553694069,0,0,0,0,3957,0,0,0,0,0,0,0,0,0,0
85,2024-01-22 23:55:00,113.56,113.45,113.57,113.45,5005,5005,5005,分时图,16.108848244781356,54.95285553694069,0,0,0,0,5005,0,0,0,0,0,0,0,0,0,0
86,2024-01-22 23:56:00,113.43,113.37,113.48,113.36,4114,4114,4114,分时图,16.108848244781356,54.95285553694069,0,0,0,0,4114,0,0,0,0,0,0,0,0,0,0
87,2024-01-22 23:57:00,113.33,113.38,113.38,113.29,2347,2347,2347,分时图,16.108848244781356,54.95285553694069,0,0,0,0,2347,0,0,0,0,0,0,0,0,0,0
88,2024-01-22 23:58:00,113.39,113.41,113.43,113.31,2554,2554,2554,分时图,13.823589027459732,54.95285553694069,0,0,0,0,2554,0,0,0,0,0,0,0,0,0,0
89,2024-01-22 23:59:00,113.43,113.39,113.45,113.39,2776,2776,2776,分时图,13.823589027459732,54.95285553694069,0,0,0,0,2776,0,0,0,0,0,0,0,0,0,0
90,2024-01-23 00:00:00,113.39,113.38,113.39,113.35,1800,1800,1800,分时图,13.823589027459732,54.95285553694069,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0
91,2024-01-23 00:01:00,113.38,113.44,113.48,113.37,3212,3212,3212,分时图,13.823589027459732,54.95285553694069,0,0,0,0,3212,0,0,0,0,0,0,0,0,0,0
92,2024-01-23 00:02:00,113.5,113.47,113.5,113.42,3958,3958,3958,分时图,13.823589027459732,54.95285553694069,0,0,0,0,3958,0,0,0,0,0,0,0,0,0,0
93,2024-01-23 00:03:00,113.47,113.42,113.47,113.42,1473,1473,1473,分时图,11.944535573231107,54.95285553694069,0,0,0,0,1473,0,0,0,0,0,0,0,0,0,0
94,2024-01-23 00:04:00,113.47,113.45,113.48,113.45,900,900,900,分时图,11.944535573231107,54.95285553694069,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0
95,2024-01-23 00:05:00,113.45,113.5,113.52,113.45,1903,1903,1903,分时图,11.944535573231107,54.95285553694069,0,0,0,0,1903,0,0,0,0,0,0,0,0,0,0
96,2024-01-23 00:06:00,113.53,113.52,113.57,113.52,2916,2916,2916,分时图,11.944535573231107,54.95285553694069,0,0,0,0,2916,0,0,0,0,0,0,0,0,0,0
