date,开盘价,最高价,最低价,收盘价,成交金额(元),成交量(股),股票代码
2023/10/31 21:31,169.35,170.18,168.64,169.25,250417072,1478281,AAPL
2023/10/31 21:32,169.19,169.19,168.89,169.05,37371376,221093,AAPL
2023/10/31 21:33,169.01,169.01,168.86,168.86,27266400,161406,AAPL
2023/10/31 21:34,168.81,168.85,168.69,168.69,37790176,223856,AAPL
2023/10/31 21:35,168.68,168.71,168.6,168.6,24440704,144909,AAPL
2023/10/31 21:36,168.57,168.57,168.4,168.42,30067136,178463,AAPL
2023/10/31 21:37,168.4,168.49,168.36,168.49,32211232,191282,AAPL
2023/10/31 21:38,168.44,168.44,168.4,168.4,34261984,203450,AAPL
2023/10/31 21:39,168.4,168.48,168.4,168.4,35757824,212294,AAPL
2023/10/31 21:40,168.39,168.53,168.36,168.53,34069408,202278,AAPL
2023/10/31 21:41,168.46,168.51,168.39,168.49,31523584,187109,AAPL
2023/10/31 21:42,168.5,168.51,168.43,168.46,21604160,128219,AAPL
2023/10/31 21:43,168.52,168.52,168.31,168.31,25438784,151004,AAPL
2023/10/31 21:44,168.42,168.49,168.42,168.49,18868544,112000,AAPL
2023/10/31 21:45,168.38,168.38,168.26,168.27,22566144,134025,AAPL
2023/10/31 21:46,168.24,168.53,168.24,168.53,27006976,160287,AAPL
2023/10/31 21:47,168.56,168.64,168.52,168.52,27350400,162015,AAPL
2023/10/31 21:48,168.58,168.59,168.51,168.56,15884032,93950,AAPL
2023/10/31 21:49,168.54,168.65,168.49,168.57,15444416,91320,AAPL
2023/10/31 21:50,168.57,168.63,168.52,168.63,15076224,89113,AAPL
2023/10/31 21:51,168.59,168.59,168.45,168.49,13387456,79158,AAPL
2023/10/31 21:52,168.49,168.52,168.45,168.45,17714752,104909,AAPL
2023/10/31 21:53,168.39,168.39,168.14,168.14,24542784,145639,AAPL
2023/10/31 21:54,168.16,168.16,167.93,167.98,44810496,266397,AAPL
2023/10/31 21:55,168.03,168.27,167.96,168.19,32095808,190656,AAPL
2023/10/31 21:56,168.2,168.34,168.17,168.17,20852160,123583,AAPL
2023/10/31 21:57,168.12,168.34,168.12,168.34,20505472,121565,AAPL
2023/10/31 21:58,168.39,168.42,168.33,168.36,18991040,112459,AAPL
2023/10/31 21:59,168.38,168.44,168.36,168.44,13828928,81809,AAPL
2023/10/31 22:00,168.5,168.6,168.5,168.6,20431040,120954,AAPL
2023/10/31 22:01,168.57,168.57,168.49,168.52,19347712,114569,AAPL
2023/10/31 22:02,168.39,168.58,168.39,168.52,20670912,122412,AAPL
2023/10/31 22:03,168.48,168.52,168.45,168.48,17736064,104980,AAPL
2023/10/31 22:04,168.48,168.58,168.48,168.48,16258304,96138,AAPL
2023/10/31 22:05,168.45,168.46,168.37,168.43,18744192,111418,AAPL
2023/10/31 22:06,168.48,168.48,168.35,168.35,14299392,85524,AAPL
2023/10/31 22:07,168.37,168.61,168.37,168.61,17238784,102922,AAPL
2023/10/31 22:08,168.73,168.91,168.73,168.91,30453376,180988,AAPL
2023/10/31 22:09,168.81,168.82,168.76,168.76,15183104,90526,AAPL
2023/10/31 22:10,168.76,168.84,168.7,168.84,14305024,85309,AAPL
2023/10/31 22:11,169.02,169.07,168.97,169.01,38699136,229536,AAPL
2023/10/31 22:12,169.09,169.22,169.03,169.15,36665472,217343,AAPL
2023/10/31 22:13,169.08,169.08,169.02,169.02,35886080,212703,AAPL
2023/10/31 22:14,168.99,169.12,168.99,169.09,21356416,126715,AAPL
2023/10/31 22:15,169.02,169.02,168.96,168.99,14207104,84515,AAPL
2023/10/31 22:16,169.04,169.1,169.02,169.1,15978496,95108,AAPL
2023/10/31 22:17,169.07,169.15,169.07,169.11,19520128,116032,AAPL
2023/10/31 22:18,169.15,169.27,169.15,169.26,12652672,75385,AAPL
2023/10/31 22:19,169.24,169.24,169.1,169.1,17089408,101642,AAPL
2023/10/31 22:20,169.14,169.21,169.11,169.21,9769984,58344,AAPL
2023/10/31 22:21,169.22,169.34,169.22,169.31,42069504,249086,AAPL
2023/10/31 22:22,169.25,169.37,169.25,169.33,15906048,94561,AAPL
2023/10/31 22:23,169.39,169.45,169.32,169.38,19546624,115967,AAPL
2023/10/31 22:24,169.35,169.53,169.35,169.36,27145472,160826,AAPL
2023/10/31 22:25,169.28,169.42,169.28,169.39,16604416,98657,AAPL
2023/10/31 22:26,169.43,169.43,169.31,169.31,16313088,96917,AAPL
2023/10/31 22:27,169.34,169.34,169.25,169.31,15672448,93174,AAPL
2023/10/31 22:28,169.33,169.36,169.2,169.21,14311424,85111,AAPL
2023/10/31 22:29,169.2,169.2,169.07,169.2,20157056,119720,AAPL
2023/10/31 22:30,169.28,169.28,169.14,169.14,19728128,117157,AAPL
2023/10/31 22:31,169.14,169.24,169.11,169.12,21816576,129476,AAPL
2023/10/31 22:32,169.18,169.18,168.98,168.98,17412224,103454,AAPL
2023/10/31 22:33,168.96,169.01,168.93,169.01,15757440,93707,AAPL
2023/10/31 22:34,169.01,169.02,168.92,168.96,15071360,89593,AAPL
2023/10/31 22:35,168.98,169,168.95,168.95,11615872,69116,AAPL
2023/10/31 22:36,168.86,168.91,168.82,168.9,23660928,140487,AAPL
2023/10/31 22:37,168.95,169,168.9,168.96,9988096,59141,AAPL
2023/10/31 22:38,168.93,168.96,168.81,168.81,11540736,68346,AAPL
2023/10/31 22:39,168.76,168.93,168.76,168.83,14011392,82998,AAPL
2023/10/31 22:40,168.88,168.9,168.85,168.9,12477696,73902,AAPL
2023/10/31 22:41,168.85,168.91,168.84,168.91,9609472,56931,AAPL
2023/10/31 22:42,168.98,169.11,168.98,169.11,18271872,108147,AAPL
2023/10/31 22:43,169.13,169.4,169.13,169.39,27550080,162801,AAPL
2023/10/31 22:44,169.4,169.54,169.4,169.54,20161408,119031,AAPL
2023/10/31 22:45,169.53,169.74,169.53,169.74,28877568,170264,AAPL
2023/10/31 22:46,169.74,169.85,169.71,169.8,23972736,141193,AAPL
2023/10/31 22:47,169.8,169.81,169.62,169.62,29108992,171495,AAPL
2023/10/31 22:48,169.59,169.59,169.52,169.57,24490368,144468,AAPL
2023/10/31 22:49,169.56,169.59,169.51,169.54,15344512,90527,AAPL
2023/10/31 22:50,169.49,169.49,169.38,169.43,18756224,110752,AAPL
2023/10/31 22:51,169.5,169.54,169.49,169.49,13059840,77090,AAPL
2023/10/31 22:52,169.52,169.62,169.5,169.62,11019904,65027,AAPL
2023/10/31 22:53,169.58,169.65,169.55,169.55,17428992,102761,AAPL
2023/10/31 22:54,169.55,169.66,169.55,169.66,16361856,96486,AAPL
2023/10/31 22:55,169.67,169.77,169.67,169.77,21106944,124351,AAPL
2023/10/31 22:56,169.79,169.79,169.63,169.63,23679616,139526,AAPL
2023/10/31 22:57,169.59,169.62,169.54,169.62,14357376,84708,AAPL
2023/10/31 22:58,169.6,169.61,169.54,169.6,10514176,62026,AAPL
2023/10/31 22:59,169.58,169.64,169.54,169.64,8069760,47620,AAPL
2023/10/31 23:00,169.62,169.74,169.62,169.7,16461824,96998,AAPL
2023/10/31 23:01,169.74,169.8,169.74,169.8,15093376,88914,AAPL
2023/10/31 23:02,169.77,169.77,169.59,169.59,11664768,68732,AAPL
2023/10/31 23:03,169.56,169.6,169.54,169.6,10994176,64793,AAPL
2023/10/31 23:04,169.55,169.57,169.49,169.57,9639424,56816,AAPL
2023/10/31 23:05,169.57,169.57,169.51,169.52,8969472,52879,AAPL
2023/10/31 23:06,169.57,169.66,169.57,169.66,10024192,59055,AAPL
2023/10/31 23:07,169.69,169.69,169.59,169.64,9738496,57351,AAPL
2023/10/31 23:08,169.75,169.75,169.65,169.73,9217792,54257,AAPL
2023/10/31 23:09,169.73,169.78,169.73,169.74,11236352,66181,AAPL
2023/10/31 23:10,169.69,169.75,169.69,169.73,11191296,65901,AAPL
2023/10/31 23:11,169.7,169.72,169.64,169.64,12843264,75663,AAPL
2023/10/31 23:12,169.58,169.58,169.49,169.55,11574784,68271,AAPL
2023/10/31 23:13,169.64,169.74,169.64,169.74,12513024,73733,AAPL
2023/10/31 23:14,169.77,169.77,169.7,169.72,14343168,84464,AAPL
2023/10/31 23:15,169.76,169.76,169.72,169.73,9823744,57858,AAPL
2023/10/31 23:16,169.73,169.73,169.62,169.66,11434496,67371,AAPL
2023/10/31 23:17,169.66,169.66,169.43,169.43,13446400,79304,AAPL
2023/10/31 23:18,169.37,169.49,169.37,169.49,20281600,119676,AAPL
2023/10/31 23:19,169.47,169.47,169.41,169.46,7993344,47152,AAPL
2023/10/31 23:20,169.48,169.54,169.41,169.54,13046016,76964,AAPL
2023/10/31 23:21,169.51,169.51,169.43,169.43,9698560,57212,AAPL
2023/10/31 23:22,169.43,169.46,169.31,169.31,13200384,77900,AAPL
2023/10/31 23:23,169.32,169.39,169.27,169.31,14935040,88177,AAPL
2023/10/31 23:24,169.28,169.36,169.28,169.32,9138688,53950,AAPL
2023/10/31 23:25,169.3,169.32,169.26,169.32,10517760,62114,AAPL
2023/10/31 23:26,169.35,169.51,169.33,169.49,15306752,90326,AAPL
2023/10/31 23:27,169.51,169.59,169.51,169.58,11842816,69835,AAPL
2023/10/31 23:28,169.58,169.58,169.51,169.56,9619200,56713,AAPL
2023/10/31 23:29,169.55,169.55,169.48,169.5,8825600,52040,AAPL
2023/10/31 23:30,169.49,169.49,169.22,169.22,14048768,82925,AAPL
2023/10/31 23:31,169.2,169.22,169.15,169.15,14474240,85503,AAPL
2023/10/31 23:32,169.14,169.15,169.07,169.09,12926976,76405,AAPL
2023/10/31 23:33,169.09,169.21,169.09,169.19,16379648,96809,AAPL
2023/10/31 23:34,169.21,169.26,169.14,169.26,17056512,100770,AAPL
2023/10/31 23:35,169.29,169.46,169.29,169.46,16593920,97983,AAPL
2023/10/31 23:36,169.5,169.5,169.39,169.39,13167872,77672,AAPL
2023/10/31 23:37,169.3,169.31,169.22,169.22,14364672,84822,AAPL
2023/10/31 23:38,169.16,169.21,169.14,169.21,11580672,68427,AAPL
2023/10/31 23:39,169.21,169.34,169.21,169.32,12994560,76729,AAPL
2023/10/31 23:40,169.33,169.33,169.28,169.28,14758400,87160,AAPL
2023/10/31 23:41,169.31,169.36,169.27,169.36,11540224,68147,AAPL
2023/10/31 23:42,169.28,169.28,169.15,169.17,11952128,70616,AAPL
2023/10/31 23:43,169.09,169.09,168.98,168.98,18777344,111029,AAPL
2023/10/31 23:44,169.06,169.06,169.03,169.06,10924032,64597,AAPL
2023/10/31 23:45,169.07,169.07,169.04,169.04,13215232,78136,AAPL
2023/10/31 23:46,169.04,169.04,168.98,169.01,9771264,57779,AAPL
2023/10/31 23:47,169.06,169.06,168.89,168.89,13131776,77673,AAPL
2023/10/31 23:48,168.9,168.95,168.86,168.89,16443136,97285,AAPL
2023/10/31 23:49,168.92,169.13,168.92,169.13,23529984,139162,AAPL
2023/10/31 23:50,169.12,169.13,169.02,169.02,13435136,79430,AAPL
2023/10/31 23:51,169.06,169.21,169.06,169.1,19227904,113663,AAPL
2023/10/31 23:52,169.04,169.17,169.04,169.17,10938624,64678,AAPL
2023/10/31 23:53,169.18,169.19,169.1,169.19,12837632,75859,AAPL
2023/10/31 23:54,169.19,169.31,169.19,169.29,21635584,127780,AAPL
2023/10/31 23:55,169.26,169.26,169.21,169.24,8528640,50371,AAPL
2023/10/31 23:56,169.27,169.48,169.27,169.48,18375424,108484,AAPL
2023/10/31 23:57,169.44,169.48,169.44,169.45,13966336,82390,AAPL
2023/10/31 23:58,169.47,169.6,169.47,169.6,16696320,98476,AAPL
2023/10/31 23:59,169.63,169.69,169.63,169.63,14834688,87416,AAPL
2023/10/31 0:00,169.65,169.72,169.65,169.72,15408384,90762,AAPL
2023/10/31 0:01,169.7,169.72,169.65,169.67,11788032,69444,AAPL
2023/10/31 0:02,169.67,169.67,169.47,169.47,14956032,88182,AAPL
2023/10/31 0:03,169.48,169.58,169.48,169.58,11208960,66092,AAPL
2023/10/31 0:04,169.57,169.66,169.57,169.63,9284096,54708,AAPL
2023/10/31 0:05,169.66,169.66,169.57,169.57,19512576,115000,AAPL
2023/10/31 0:06,169.57,169.68,169.52,169.68,8641792,50930,AAPL
2023/10/31 0:07,169.63,169.63,169.56,169.6,6869504,40480,AAPL
2023/10/31 0:08,169.63,169.64,169.56,169.61,6883840,40550,AAPL
2023/10/31 0:09,169.6,169.64,169.6,169.63,11566336,68146,AAPL
2023/10/31 0:10,169.61,169.69,169.61,169.69,7113472,41886,AAPL
2023/10/31 0:11,169.72,169.72,169.66,169.71,8870912,52252,AAPL
2023/10/31 0:12,169.7,169.74,169.68,169.71,7764736,45728,AAPL
2023/10/31 0:13,169.71,169.76,169.67,169.67,11745024,69184,AAPL
2023/10/31 0:14,169.64,169.64,169.6,169.6,8559616,50440,AAPL
2023/10/31 0:15,169.55,169.55,169.45,169.45,29598720,174604,AAPL
2023/10/31 0:16,169.46,169.53,169.46,169.47,14769152,87124,AAPL
2023/10/31 0:17,169.47,169.49,169.4,169.43,19473920,114930,AAPL
2023/10/31 0:18,169.46,169.51,169.42,169.42,10359808,61118,AAPL
2023/10/31 0:19,169.4,169.5,169.4,169.5,6563840,38724,AAPL
2023/10/31 0:20,169.52,169.52,169.46,169.46,12581888,74192,AAPL
2023/10/31 0:21,169.46,169.54,169.46,169.51,5455104,32164,AAPL
2023/10/31 0:22,169.52,169.55,169.46,169.51,10166016,59964,AAPL
2023/10/31 0:23,169.54,169.58,169.5,169.5,7816448,46088,AAPL
2023/10/31 0:24,169.47,169.54,169.45,169.54,7310592,43096,AAPL
2023/10/31 0:25,169.56,169.57,169.55,169.56,3899648,22988,AAPL
2023/10/31 0:26,169.55,169.55,169.45,169.46,8110080,47820,AAPL
2023/10/31 0:27,169.5,169.56,169.49,169.56,5104128,30104,AAPL
2023/10/31 0:28,169.59,169.63,169.57,169.57,8539136,50332,AAPL
2023/10/31 0:29,169.55,169.55,169.47,169.52,8887296,52402,AAPL
2023/10/31 0:30,169.53,169.55,169.47,169.55,7371520,43470,AAPL
2023/10/31 0:31,169.55,169.67,169.55,169.66,11555328,68102,AAPL
2023/10/31 0:32,169.67,169.7,169.62,169.7,12280832,72362,AAPL
2023/10/31 0:33,169.85,169.85,169.8,169.8,25723648,151478,AAPL
2023/10/31 0:34,169.79,169.82,169.79,169.79,6861312,40392,AAPL
2023/10/31 0:35,169.79,169.79,169.73,169.76,9814016,57790,AAPL
2023/10/31 0:36,169.72,169.76,169.63,169.63,5783296,34060,AAPL
2023/10/31 0:37,169.59,169.59,169.29,169.35,26632960,157178,AAPL
2023/10/31 0:38,169.37,169.46,169.35,169.46,11461632,67644,AAPL
2023/10/31 0:39,169.45,169.77,169.45,169.77,15113728,89102,AAPL
2023/10/31 0:40,169.79,169.9,169.79,169.87,13792768,81196,AAPL
2023/10/31 0:41,169.89,169.9,169.83,169.83,9505792,55936,AAPL
2023/10/31 0:42,169.8,169.99,169.8,169.99,18736640,110260,AAPL
2023/10/31 0:43,169.96,170.05,169.93,170,37764352,222146,AAPL
2023/10/31 0:44,169.97,170.04,169.89,169.89,9317120,54804,AAPL
2023/10/31 0:45,169.92,169.95,169.89,169.95,6240000,36706,AAPL
2023/10/31 0:46,169.96,169.96,169.89,169.89,13924096,81926,AAPL
2023/10/31 0:47,169.92,169.97,169.92,169.97,5177344,30454,AAPL
2023/10/31 0:48,169.97,169.97,169.9,169.91,7562752,44492,AAPL
2023/10/31 0:49,169.9,169.93,169.88,169.91,4364800,25668,AAPL
2023/10/31 0:50,169.9,169.96,169.88,169.96,10772480,63396,AAPL
2023/10/31 0:51,169.95,169.95,169.93,169.93,5359360,31516,AAPL
2023/10/31 0:52,169.87,169.93,169.87,169.89,7638272,44940,AAPL
2023/10/31 0:53,169.9,169.9,169.8,169.8,7441920,43788,AAPL
2023/10/31 0:54,169.78,169.85,169.78,169.8,8173568,48124,AAPL
2023/10/31 0:55,169.82,169.87,169.82,169.87,7965184,46892,AAPL
2023/10/31 0:56,169.84,169.93,169.84,169.89,5358336,31522,AAPL
2023/10/31 0:57,169.89,169.94,169.88,169.94,8644864,50870,AAPL
2023/10/31 0:58,169.92,169.99,169.91,169.99,16977920,99876,AAPL
2023/10/31 0:59,170.02,170.05,170.02,170.04,10152704,59702,AAPL
2023/10/31 1:00,170.05,170.05,169.99,169.99,5329152,31326,AAPL
2023/10/31 1:01,169.99,170.06,169.99,170.06,11148800,65556,AAPL
2023/10/31 1:02,170.08,170.13,170,170.04,13427456,78920,AAPL
2023/10/31 1:03,170.04,170.08,170.04,170.07,3282432,19276,AAPL
2023/10/31 1:04,170.04,170.13,170.01,170.13,15979776,93914,AAPL
