,dt,open,close,high,low,vol,cje,zxj,Code,yyyymmdd,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41,buy_signal,sell_signal,profit,long_end
0,2023-07-12 23:43:00,371.1,371.3,371.3,370.96,336940,336940,336940,分时图,20230712,90.95555697795288,79.72674034827642,0,0,0,0,336940,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
1,2023-07-13 03:23:00,372.77,372.37,372.77,372.37,128208,128208,128208,分时图,20230712,81.25391852039894,97.96619045406064,0,0,0,0,128208,0,0,0,0,0,0,0,0,0,0,0,0,0.0028817667654188472,1
2,2023-07-28 01:41:00,380.26,380.57,380.57,380.18,144604,144604,144604,分时图,20230727,21.982195065783998,83.31115121234599,0,0,0,0,144604,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
3,2023-07-28 02:08:00,379.78,379.56,379.78,379.56,137724,137724,137724,分时图,20230727,-8.861016282766158,76.58125793381912,1,0,0,0,137724,0,0,0,0,0,0,0,0,0,0,0,0,-0.0026539138660429673,1
4,2023-07-28 02:40:00,376.81,376.8,376.81,376.55,279336,279336,279336,分时图,20230727,-21.13901766396127,67.13937611467186,1,0,0,0,279336,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0
5,2023-07-28 02:57:00,376.76,376.5,376.76,376.43,223464,223464,223464,分时图,20230727,-22.597312351131905,67.13937611467186,1,0,0,0,223464,0,0,0,0,0,0,0,0,0,0,0,0,-0.0007961783439490722,1
6,2023-08-10 23:54:00,368.86,369.17,369.17,368.84,164862,164862,164862,分时图,20230810,39.13842450889314,41.56179575540288,0,0,0,0,164862,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
7,2023-08-11 00:57:00,369.41,369.1,369.48,369.1,147256,147256,147256,分时图,20230810,13.745425708840898,38.20510455693674,0,0,0,0,147256,0,0,0,0,0,0,0,0,0,0,0,0,-0.00018961454072652373,1
8,2023-08-18 02:58:00,359.36,359.58,359.73,359.36,211136,211136,211136,分时图,20230817,2.7996579049506707,-1.4559948515264693,0,0,1,0,211136,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
9,2023-08-18 03:12:00,358.89,358.67,358.89,358.63,198348,198348,198348,分时图,20230817,-2.348530276938483,-1.6318347446831396,1,0,1,0,198348,0,0,0,0,0,0,0,0,0,0,0,0,-0.0025307302964568956,1
10,2023-09-21 03:16:00,366.97,367.02,367.05,366.95,176756,176756,176756,分时图,20230920,16.266960861410013,22.517930518191285,0,0,0,0,176756,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
11,2023-09-21 03:33:00,366.75,366.01,366.75,366.01,422568,422568,422568,分时图,20230920,6.359214211182376,19.996979316966545,0,0,0,0,422568,0,0,0,0,0,0,0,0,0,0,0,0,-0.002751893629774904,1
12,2023-09-23 02:16:00,358.34,358.31,358.41,358.31,90132,90132,90132,分时图,20230922,0.7223733776556571,13.805668463411507,0,0,0,0,90132,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
13,2023-09-23 03:42:00,359.45,359.28,359.47,359.28,131024,131024,131024,分时图,20230922,25.327614723106876,12.296516770320487,0,0,0,0,131024,0,0,0,0,0,0,0,0,0,0,0,0,0.0027071530239177743,1
14,2023-09-28 01:44:00,351.43,351.64,351.67,351.43,167136,167136,167136,分时图,20230927,-4.078029568131271,6.474288621880497,1,0,0,0,167136,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
15,2023-09-28 03:06:00,355.95,355.87,355.98,355.87,240328,240328,240328,分时图,20230927,86.360995283688,18.810168352741826,0,0,0,0,240328,0,1,0,0,0,0,0,0,0,0,0,1,0.012029348197019729,1
16,2023-09-30 01:05:00,358.33,358.42,358.43,358.32,87060,87060,87060,分时图,20230929,20.13841655676285,103.90928626545836,0,0,0,1,87060,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
17,2023-09-30 01:59:00,357.55,357.25,357.55,357.25,198632,198632,198632,分时图,20230929,-12.718047986458345,99.02804652306068,1,0,0,0,198632,0,0,0,0,0,0,0,0,0,0,0,0,-0.003264326767479564,1
18,2023-10-13 01:19:00,369.88,370.04,370.07,369.88,90824,90824,90824,分时图,20231012,40.47553134514408,93.18311351365969,0,0,0,0,90824,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
19,2023-10-13 02:05:00,368.99,368.75,369.03,368.75,110082,110082,110082,分时图,20231012,-16.468965269394232,82.05922816632264,1,0,0,0,110082,0,0,0,0,0,0,0,0,0,0,0,0,-0.0034861096097720257,1
20,2023-10-19 03:12:00,363.41,363.46,363.46,363.41,272496,272496,272496,分时图,20231018,3.9719481225769755,5.127328661098318,0,0,0,0,272496,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
21,2023-10-19 03:48:00,362.43,362.2,362.43,362.2,395316,395316,395316,分时图,20231018,-1.1876497076184833,8.226477942748971,1,0,0,0,395316,0,0,0,0,0,0,0,0,0,0,0,0,-0.0034666813404501395,1
22,2023-11-16 02:17:00,384.28,384.5,384.5,384.28,402360,402360,402360,分时图,20231115,-6.215211506804323,87.26201025043267,1,0,0,0,402360,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
23,2023-11-16 04:50:00,385.82,385.59,385.82,385.59,120756,120756,120756,分时图,20231115,72.8484316203591,77.84499836423095,0,0,0,0,120756,0,0,0,0,0,0,0,0,0,0,0,0,0.0028348504551365394,1
