,序号,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,总市值,市盈率,成交量,成交额,振幅,换手率,代码
0,1,ToughBuilt Industries Inc Wt-A,0.03,0.02,200.0,0.02,0.03,0.02,0.01,,,3809.0,98.0,100.0,,105.TBLTW
1,2,Falcon's Beyond Global Inc-A,17.4,9.64,124.23,27.05,40.04,15.0,7.76,2444720045.0,,326541.0,8845631.0,322.68,0.23,105.FBYD
2,3,GeneDx Holdings Corp Wt,0.02,0.01,100.0,0.01,0.02,0.01,0.01,,,47008.0,864.0,100.0,,105.WGSWW
3,4,Rubicon Technologies Inc Wt,0.02,0.01,100.0,0.01,0.02,0.01,0.01,,,62591.0,937.0,100.0,,106.RBT_WS
4,5,Akerna Corp Wt,0.02,0.01,100.0,0.02,0.02,0.01,0.01,,,18082.0,272.0,100.0,,105.KERNW
5,6,HUB Cyber Security Ltd Wt,0.02,0.01,100.0,0.02,0.02,0.01,0.01,,,119640.0,1949.0,100.0,,105.HUBCW
6,7,Cuentas Inc Wt,0.02,0.01,100.0,0.01,0.02,0.01,0.01,,,2690.0,29.0,100.0,,105.CUENW
7,8,Celularity Inc Wt,0.02,0.01,100.0,0.02,0.02,0.02,0.01,,,112186.0,2117.0,0.0,,105.CELUW
8,9,BurTech Acquisition Corp Wt,0.02,0.01,100.0,0.02,0.02,0.02,0.01,,,500.0,10.0,0.0,,105.BRKHW
9,10,ParaZero Technologies Ltd,1.16,0.51,78.46,1.07,1.42,0.93,0.65,7020805.0,-6.17,124969639.0,139664131.0,75.38,2064.79,105.PRZO
10,11,Thunder Bridge Capital Partners,0.07,0.03,75.0,0.06,0.07,0.06,0.04,,,4978.0,356.0,25.0,,105.TBCPW
11,12,The Oncology Institute Inc Wt,0.12,0.05,71.43,0.12,0.12,0.12,0.07,,,100.0,11.0,0.0,,105.TOIIW
12,13,Goldenstone Acquisition Ltd Wt,0.05,0.02,66.67,0.04,0.05,0.03,0.03,,,1503.0,55.0,66.67,,105.GDSTW
13,14,Power & Digital Infrastructure ,0.14,0.05,55.56,0.1,0.14,0.1,0.09,,,31274.0,3910.0,44.44,,105.XPDBW
14,15,NuScale Power Corp Wt,0.99,0.34,52.31,0.68,0.99,0.68,0.65,,,104989.0,92530.0,47.69,,106.SMR_WS
15,16,MultiPlan Corp Wt,0.06,0.02,50.0,0.06,0.06,0.06,0.04,,,300.0,17.0,0.0,,106.MPLN_WS
16,17,Forest Road Acquisition Corp II,0.03,0.01,50.0,0.03,0.03,0.03,0.02,,,13000.0,343.0,0.0,,106.FRXB_WS
17,18,Accretion Acquisition Corp Wt,0.03,0.01,50.0,0.04,0.04,0.03,0.02,,,100305.0,3154.0,50.0,,105.ENERW
18,19,Canna-Global Acquisition Corp W,0.03,0.01,50.0,0.03,0.03,0.03,0.02,,,202.0,5.0,0.0,,105.CNGLW
19,20,Clean Earth Acquisitions Corp W,0.06,0.02,50.0,0.06,0.06,0.06,0.04,,,4050.0,239.0,0.0,,105.CLINW
20,21,Acropolis Infrastructure Acquis,0.06,0.02,50.0,0.06,0.06,0.06,0.04,,,1211.0,67.0,0.0,,106.ACRO_WS
21,22,Regional Health Properties Inc ,0.9,0.29,47.54,0.8,1.0,0.73,0.61,1694725.0,-0.32,6462.0,5819.0,44.26,,107.RHE_A
22,23,HeartBeam Inc Wt,0.22,0.07,46.67,0.18,0.22,0.18,0.15,,,3453.0,723.0,26.67,,105.BEATW
23,24,Priveterra Acquisition Corp II ,0.07,0.02,40.0,0.04,0.07,0.04,0.05,,,446.0,29.0,60.0,,105.PMGMW
24,25,NRX Pharmaceuticals Inc Wt,0.11,0.03,37.5,0.08,0.11,0.08,0.08,,,1100.0,105.0,37.5,,105.NRXPW
25,26,Kairous Acquisition Corp Ltd Rt,0.11,0.03,37.5,0.1,0.11,0.1,0.08,,,4006.0,434.0,12.5,,105.KACLR
26,27,Edoc Acquisition Corp Rt,0.11,0.03,37.5,0.09,0.11,0.09,0.08,,,51298.0,5120.0,25.0,,105.ADOCR
27,28,United Homes Group Inc Wt,0.85,0.23,37.1,0.62,0.86,0.58,0.62,,,13823.0,8711.0,45.16,,105.UHGWW
28,29,T2 Biosystems Inc,0.26,0.07,36.84,0.22,0.26,0.22,0.19,86730803.0,-1.67,136597427.0,33261268.0,21.05,40.95,105.TTOO
29,30,Matinas BioPharma Holdings Inc,0.19,0.05,35.71,0.15,0.22,0.14,0.14,41280260.0,-2.0,13754831.0,2470152.0,57.14,6.33,107.MTNB
30,31,Vaccinex Inc,1.1,0.28,34.15,0.93,1.24,0.85,0.82,13704242.0,-0.63,21693740.0,22606267.0,47.56,174.13,105.VCNX
31,32,American Oncology Network Inc-A,7.93,2.01,33.95,5.69,11.0,5.58,5.92,274710307.0,75.97,3771463.0,35655777.0,91.55,10.89,105.AONC
32,33,Applied UV Inc Series A Pfd,1.75,0.44,33.59,1.5,1.86,1.5,1.31,17236679.0,-0.88,70170.0,117722.0,27.48,,105.AUVIP
33,34,依生生物(权证),0.04,0.01,33.33,0.03,0.04,0.03,0.03,,,45619.0,1964.0,33.33,,105.YSBPW
34,35,Safety Shot Inc Wt,0.4,0.1,33.33,0.35,0.4,0.35,0.3,,,940.0,357.0,16.67,,105.SHOTW
35,36,PAVmed Inc Wt,0.16,0.04,33.33,0.17,0.17,0.15,0.12,,,6250.0,956.0,16.67,,105.PAVMZ
36,37,HHG Capital Corp Rt,0.2,0.05,33.33,0.35,0.35,0.2,0.15,,,11313.0,2569.0,100.0,,105.HHGCR
37,38,FinServ Acquisition Corp II Wt,0.04,0.01,33.33,0.03,0.04,0.03,0.03,,,1472.0,52.0,33.33,,105.FSRXW
38,39,Fintech Ecosystem Development C,0.04,0.01,33.33,0.04,0.04,0.04,0.03,,,200.0,7.0,0.0,,105.FEXDW
39,40,Coeptis Therapeutics Holdings I,0.04,0.01,33.33,0.03,0.04,0.03,0.03,,,3099.0,96.0,33.33,,105.COEPW
40,41,Cetus Capital Acquisition Corp ,0.04,0.01,33.33,0.04,0.05,0.03,0.03,,,49754.0,2163.0,66.67,,105.CETUW
41,42,Crixus BH3 Acquisition Co Wt,0.04,0.01,33.33,0.04,0.04,0.04,0.03,,,29995.0,1203.0,0.0,,105.BHACW
