,序号,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,总市值,市盈率,成交量,成交额,振幅,换手率,代码
0,1,Xenetic Biosciences Inc Wt,6.99,4.13,144.41,6.99,6.99,6.99,2.86,,,765.0,5347.0,0.0,,105.XBIOW
1,2,Sunlight Financial Holdings Inc,0.02,0.01,100.0,0.01,0.02,0.01,0.01,,,3000.0,38.0,100.0,,106.SUNL_WS
2,3,Ross Acquisition Corp II Wt,0.14,0.07,100.0,0.1,0.15,0.1,0.07,,,33732.0,4766.0,71.43,,106.ROSS_WS
3,4,Northern Star Investment Corp I,0.04,0.02,100.0,0.02,0.05,0.02,0.02,,,4202.0,118.0,150.0,,107.NSTB_WS
4,5,Newcourt Acquisition Corp Wt,0.04,0.02,100.0,0.03,0.04,0.02,0.02,,,14089.0,517.0,100.0,,105.NCACW
5,6,Metal Sky Star Acquisition Corp,0.02,0.01,100.0,0.02,0.02,0.02,0.01,,,100.0,1.0,0.0,,105.MSSAW
6,7,Moringa Acquisition Corp Wt,0.04,0.02,100.0,0.03,0.04,0.03,0.02,,,2699.0,97.0,50.0,,105.MACAW
7,8,Heliogen Inc Wt,0.04,0.02,100.0,0.04,0.04,0.04,0.02,,,100.0,3.0,0.0,,106.HLGN_WS
8,9,Financial Strategies Acquisitio,0.02,0.01,100.0,0.01,0.02,0.01,0.01,,,20000.0,345.0,100.0,,105.FXCOW
9,10,Fathom Digital Manufacturing Co,0.04,0.02,100.0,0.02,0.04,0.02,0.02,,,2741.0,50.0,100.0,,106.FATH_WS
10,11,心灵鸡汤娱乐 (权证),0.02,0.01,100.0,0.02,0.02,0.01,0.01,,,113483.0,1630.0,100.0,,105.CSSEL
11,12,BurTech Acquisition Corp Wt,0.02,0.01,100.0,0.02,0.02,0.02,0.01,,,1149.0,18.0,0.0,,105.BRKHW
12,13,Prime Number Acquisition I Corp,0.09,0.04,80.0,0.04,0.1,0.04,0.05,,,58042.0,4102.0,120.0,,105.PNACW
13,14,LAMF Global Ventures Corp I Wt,0.07,0.03,75.0,0.08,0.09,0.06,0.04,,,80562.0,6459.0,75.0,,105.LGVCW
14,15,Biofrontera Inc Wt,0.07,0.03,75.0,0.07,0.07,0.04,0.04,,,2752.0,131.0,75.0,,105.BFRIW
15,16,Abri SPAC I Inc Wt,0.07,0.03,75.0,0.04,0.07,0.04,0.04,,,23892.0,1016.0,75.0,,105.ASPAW
16,17,海王星科技,0.24,0.1,71.43,0.25,0.34,0.23,0.14,5788224.0,-0.09,186756298.0,53018843.0,78.57,774.36,105.NEPT
17,18,Global Blockchain Acquisition C,0.15,0.06,66.67,0.15,0.16,0.14,0.09,,,102932.0,14474.0,22.22,,105.GBBKR
18,19,Jet.AI Inc,6.57,2.57,64.25,4.22,8.7,4.03,4.0,57257833.0,17.92,5460857.0,37472671.0,116.75,62.66,105.JTAI
19,20,Prospector Capital Corp Wt,0.08,0.03,60.0,0.05,0.08,0.05,0.05,,,2269.0,172.0,60.0,,105.PRSRW
20,21,Jupiter Wellness Inc Wt,0.34,0.12,54.55,0.77,2.0,0.22,0.22,,,53837.0,45138.0,809.09,,105.JUPWW
21,22,Waverley Capital Acquisition Co,0.03,0.01,50.0,0.03,0.03,0.03,0.02,,,527.0,13.0,0.0,,106.WAVC_WS
22,23,Plutonian Acquisition Corp Wt,0.06,0.02,50.0,0.06,0.06,0.05,0.04,,,11747.0,677.0,25.0,,105.PLTNW
23,24,Mobiv Acquisition Corp Wt,0.03,0.01,50.0,0.03,0.03,0.03,0.02,,,1200.0,30.0,0.0,,105.MOBVW
24,25,Jaguar Global Growth Corp I Wt,0.15,0.05,50.0,0.14,0.15,0.14,0.1,,,200.0,28.0,10.0,,105.JGGCW
25,26,Global Systems Dynamics Inc Wt,0.03,0.01,50.0,0.02,0.03,0.02,0.02,,,3881.0,94.0,50.0,,105.GSDWW
26,27,Blockchain Coinvestors Acquisit,0.03,0.01,50.0,0.03,0.03,0.03,0.02,,,400.0,13.0,0.0,,105.BCSAW
27,28,American Rebel Holdings Inc Wt,0.03,0.01,50.0,0.01,0.03,0.01,0.02,,,3895.0,48.0,100.0,,105.AREBW
28,29,Ace Global Business Acquisition,0.03,0.01,50.0,0.03,0.03,0.03,0.02,,,100.0,2.0,0.0,,105.ACBAW
29,30,Splash Beverage Group Inc Wt,0.16,0.05,45.45,0.13,0.16,0.13,0.11,,,7372.0,1040.0,27.27,,107.SBEV_WS
30,31,EzFill Holdings Inc,4.62,1.42,44.38,3.19,4.72,3.19,3.2,16634952.0,-1.0,177189.0,702852.0,47.81,4.92,105.EZFL
31,32,Bite Acquisition Corp Wt,0.1,0.03,42.86,0.08,0.1,0.08,0.07,,,1166.0,90.0,28.57,,107.BITE_WS
32,33,Liberty Resources Acquisition C,0.07,0.02,40.0,0.07,0.07,0.07,0.05,,,5001.0,345.0,0.0,,105.LIBYW
33,34,Jet.AI Inc Wt,0.07,0.02,40.0,0.06,0.07,0.05,0.05,,,1250976.0,78263.0,40.0,,105.JTAIW
34,35,Brilliant Acquisition Corp Wt,0.07,0.02,40.0,0.07,0.07,0.07,0.05,,,100.0,6.0,0.0,,105.BRLIW
35,36,bleuacacia ltd Rt,0.07,0.02,40.0,0.06,0.07,0.06,0.05,,,2951.0,208.0,20.0,,105.BLEUR
36,37,Arisz Acquisition Corp Rt,0.14,0.04,40.0,0.14,0.14,0.14,0.1,,,100.0,13.0,0.0,,105.ARIZR
