,时间,开盘,收盘,最高,最低,成交量,成交额,最新价
0,2023-10-30 21:30:00,0.0,347.87,347.87,347.87,1057152,367751472.0,347.87
1,2023-10-30 21:31:00,0.0,347.61,348.1,347.49,421197,146530498.0,347.876
2,2023-10-30 21:32:00,0.0,347.27,347.62,347.17,230941,80071080.0,347.719
3,2023-10-30 21:33:00,0.0,347.93,348.0,347.11,236848,82290876.0,347.685
4,2023-10-30 21:34:00,0.0,348.17,348.2,347.8,191388,66656699.0,347.739
5,2023-10-30 21:35:00,0.0,348.6,348.6,348.13,350641,122286785.0,347.882
6,2023-10-30 21:36:00,0.0,348.44,348.62,348.3,235350,82083665.0,347.959
7,2023-10-30 21:37:00,0.0,348.49,348.5,348.29,157630,54959452.0,347.997
8,2023-10-30 21:38:00,0.0,349.01,349.02,348.49,258807,90380135.0,348.098
9,2023-10-30 21:39:00,0.0,349.07,349.25,348.94,234340,81903189.0,348.195
10,2023-10-30 21:40:00,0.0,349.33,349.35,349.06,229215,80187762.0,348.3
11,2023-10-30 21:41:00,0.0,349.1,349.38,349.07,139984,48905189.0,348.34
12,2023-10-30 21:42:00,0.0,349.21,349.34,349.07,145204,50724393.0,348.377
13,2023-10-30 21:43:00,0.0,349.57,349.59,349.16,229524,80258478.0,348.449
14,2023-10-30 21:44:00,0.0,349.28,349.56,349.2,131040,45793651.0,348.48
15,2023-10-30 21:45:00,0.0,349.53,349.57,349.25,377389,131719010.0,348.525
16,2023-10-30 21:46:00,0.0,349.83,349.85,349.48,227836,79744743.0,348.594
17,2023-10-30 21:47:00,0.0,349.88,349.92,349.74,177596,62179354.0,348.648
18,2023-10-30 21:48:00,0.0,350.19,350.27,349.88,302025,105950107.0,348.77
19,2023-10-30 21:49:00,0.0,350.2,350.32,350.1,210962,73987359.0,348.844
20,2023-10-30 21:50:00,0.0,350.21,350.35,350.18,197167,69165784.0,348.911
21,2023-10-30 21:51:00,0.0,350.26,350.47,350.15,241514,84722453.0,348.987
22,2023-10-30 21:52:00,0.0,350.5,350.54,350.27,239794,84142304.0,349.061
23,2023-10-30 21:53:00,0.0,349.98,350.5,349.96,220261,77200968.0,349.11
24,2023-10-30 21:54:00,0.0,350.09,350.18,349.98,150661,52775734.0,349.137
25,2023-10-30 21:55:00,0.0,350.06,350.17,349.96,602999,210793588.0,349.174
26,2023-10-30 21:56:00,0.0,350.03,350.11,349.94,158629,55570261.0,349.198
27,2023-10-30 21:57:00,0.0,350.3,350.43,349.83,370642,129743416.0,349.239
28,2023-10-30 21:58:00,0.0,350.21,350.37,350.12,223192,78265316.0,349.279
29,2023-10-30 21:59:00,0.0,349.93,350.28,349.92,172065,60267654.0,349.3
30,2023-10-30 22:00:00,0.0,349.91,350.01,349.72,223669,78309218.0,349.322
31,2023-10-30 22:01:00,0.0,349.59,350.1,349.54,250133,87517592.0,349.338
32,2023-10-30 22:02:00,0.0,349.75,349.96,349.6,209370,73228032.0,349.348
33,2023-10-30 22:03:00,0.0,349.47,349.82,349.16,329185,115028870.0,349.351
34,2023-10-30 22:04:00,0.0,349.22,349.73,349.15,237106,82855591.0,349.353
35,2023-10-30 22:05:00,0.0,349.17,349.36,349.03,346043,120847042.0,349.349
36,2023-10-30 22:06:00,0.0,349.21,349.32,349.01,287803,100499361.0,349.344
37,2023-10-30 22:07:00,0.0,349.34,349.44,349.15,116976,40862255.0,349.344
38,2023-10-30 22:08:00,0.0,349.65,349.72,349.24,192537,67288123.0,349.347
39,2023-10-30 22:09:00,0.0,349.81,349.81,349.44,178535,62417096.0,349.351
40,2023-10-30 22:10:00,0.0,349.69,349.88,349.51,111431,38978963.0,349.356
41,2023-10-30 22:11:00,0.0,349.31,349.8,349.29,147391,51532857.0,349.36
42,2023-10-30 22:12:00,0.0,348.92,349.36,348.92,175520,61268421.0,349.355
43,2023-10-30 22:13:00,0.0,349.24,349.24,348.89,158161,55197115.0,349.35
44,2023-10-30 22:14:00,0.0,349.25,349.38,349.09,144767,50552009.0,349.348
45,2023-10-30 22:15:00,0.0,348.95,349.25,348.87,142254,49625601.0,349.342
46,2023-10-30 22:16:00,0.0,348.67,349.01,348.62,204784,71409743.0,349.331
47,2023-10-30 22:17:00,0.0,348.7,348.86,348.65,117088,40807748.0,349.322
48,2023-10-30 22:18:00,0.0,348.18,348.81,348.02,421985,146953351.0,349.285
49,2023-10-30 22:19:00,0.0,347.72,348.23,347.7,268544,93397271.0,349.252
50,2023-10-30 22:20:00,0.0,347.83,347.91,347.63,205835,71553646.0,349.226
51,2023-10-30 22:21:00,0.0,347.48,347.88,347.44,547390,190521373.0,349.177
52,2023-10-30 22:22:00,0.0,347.32,347.52,347.21,329614,114557188.0,349.137
53,2023-10-30 22:23:00,0.0,347.31,347.43,347.18,185669,64437307.0,349.109
54,2023-10-30 22:24:00,0.0,347.33,347.43,347.16,128843,44736980.0,349.091
55,2023-10-30 22:25:00,0.0,347.45,347.58,347.3,215812,74814092.0,349.054
